제목,이미지URL,촬영장소,사진작가,검색키워드,콘텐츠ID,콘텐츠타입ID,등록일시,수정일시
광치기해변,http://tong.visitkorea.or.kr/cms2/website/09/1012309.jpg,제주도 ,한국관광공사 김지호,광치기해변,1012309,17,20100430094704,20150819131759
광치기해변,http://tong.visitkorea.or.kr/cms2/website/10/1012310.jpg,제주도 ,한국관광공사 김지호,광치기해변,1012310,17,20100430094920,20150819131742
광치기해변,http://tong.visitkorea.or.kr/cms2/website/15/1012315.jpg,제주도 ,한국관광공사 김지호,"광치기해변, 성산일출봉",1012315,17,20100430095140,20150819131713
거제학동몽돌해변,http://tong.visitkorea.or.kr/cms2/website/55/1047555.jpg,경상남도 거제시,한국관광공사 박성근,"학동몽돌해변, 흑진주몽돌해수욕장, 거제몽돌해수욕장, 1박2일, 거제8경",1047555,17,20100622140505,20150825160356
거제학동몽돌해변,http://tong.visitkorea.or.kr/cms2/website/62/1047562.jpg,경상남도 거제시,한국관광공사 박성근,"학동몽돌해변, 흑진주몽돌해수욕장, 거제몽돌해수욕장, 1박2일, 거제8경",1047562,17,20100622140729,20150825160343
거제학동몽돌해변,http://tong.visitkorea.or.kr/cms2/website/64/1047564.jpg,경상남도 거제시,한국관광공사 박성근,"학동몽돌해변, 흑진주몽돌해수욕장, 거제몽돌해수욕장, 1박2일, 거제8경",1047564,17,20100622140921,20150825160331
거제학동몽돌해변,http://tong.visitkorea.or.kr/cms2/website/67/1047567.jpg,경상남도 거제시,한국관광공사 박성근,"학동몽돌해변, 흑진주몽돌해수욕장, 거제몽돌해수욕장, 1박2일, 거제8경",1047567,17,20100622141103,20150825160321
거제학동몽돌해변,http://tong.visitkorea.or.kr/cms2/website/70/1047570.jpg,경상남도 거제시,한국관광공사 박성근,"학동몽돌해변, 흑진주몽돌해수욕장, 거제몽돌해수욕장, 1박2일, 거제8경",1047570,17,20100622141259,20150825160304
거제학동몽돌해변,http://tong.visitkorea.or.kr/cms2/website/76/1047576.jpg,경상남도 거제시,한국관광공사 박성근,"학동몽돌해변, 흑진주몽돌해수욕장, 거제몽돌해수욕장, 1박2일, 거제8경",1047576,17,20100622141451,20160720100609
거제학동몽돌해변,http://tong.visitkorea.or.kr/cms2/website/79/1047579.jpg,경상남도 거제시,한국관광공사 박성근,"학동몽돌해변, 흑진주몽돌해수욕장, 거제몽돌해수욕장, 1박2일, 거제8경",1047579,17,20100622141647,20150825160237
거제학동몽돌해변,http://tong.visitkorea.or.kr/cms2/website/83/1047583.jpg,경상남도 거제시,한국관광공사 박성근,"학동몽돌해변, 흑진주몽돌해수욕장, 거제몽돌해수욕장",1047583,17,20100622141941,20150825160217
거제학동몽돌해변,http://tong.visitkorea.or.kr/cms2/website/86/1047586.jpg,경상남도 거제시,한국관광공사 박성근,"학동몽돌해변, 흑진주몽돌해수욕장, 거제몽돌해수욕장, 1박2일, 거제8경",1047586,17,20100622142159,20150825160135
거제학동몽돌해변,http://tong.visitkorea.or.kr/cms2/website/89/1047589.jpg,경상남도 거제시,한국관광공사 박성근,"학동몽돌해변, 흑진주몽돌해수욕장, 거제몽돌해수욕장, 1박2일, 거제8경",1047589,17,20100622142454,20150825160125
안목해변,http://tong.visitkorea.or.kr/cms2/website/33/1188133.jpg,강원도 강릉,한국관광공사 김지호,"강릉 안목해변, 안목해수욕장 ",1188133,17,20110127143122,20151001154324
안목해변,http://tong.visitkorea.or.kr/cms2/website/40/1188140.jpg,강원도 강릉,한국관광공사 김지호,"강릉 안목해변, 안목해수욕장 ",1188140,17,20110127144646,20151001154339
안목해변,http://tong.visitkorea.or.kr/cms2/website/64/1188164.jpg,강원도 강릉,한국관광공사 김지호,"강릉 안목해변, 안목해수욕장, 파도, 모래사장",1188164,17,20110127144920,20151001160856
안목해변,http://tong.visitkorea.or.kr/cms2/website/41/1188241.jpg,강원도 강릉,한국관광공사 김지호,"강릉 안목해변, 안목해수욕장, 파도",1188241,17,20110127150041,20151001154445
안목해변,http://tong.visitkorea.or.kr/cms2/website/48/1188248.jpg,강원도 강릉,한국관광공사 김지호,"강릉 안목해변, 안목해수욕장, 파도, 바다",1188248,17,20110127150841,20151001154425
안목해변,http://tong.visitkorea.or.kr/cms2/website/54/1188254.jpg,강원도 강릉,한국관광공사 김지호,"강릉 안목해변, 안목해수욕장",1188254,17,20110127151057,20151001154356
안목해변,http://tong.visitkorea.or.kr/cms2/website/61/1188261.jpg,강원도 강릉,한국관광공사 김지호,"강릉 안목해변, 안목해수욕장, 겨울바다, 모래사장",1188261,17,20110127151314,20151001154626
안목해변,http://tong.visitkorea.or.kr/cms2/website/78/1188278.jpg,강원도 강릉,한국관광공사 김지호,"강릉 안목해변, 안목해수욕장, 겨울바다, 모래사장",1188278,17,20110127151700,20151001154647
영진해변,http://tong.visitkorea.or.kr/cms2/website/93/1188293.jpg,강원도 강릉,한국관광공사 김지호,"영진해변, 파도, 바다",1188293,17,20110127152001,20151001160347
