제목,검색키워드,이미지URL,촬영장소,촬영월,콘텐츠ID,콘텐츠타입ID,등록일시,수정일시,사진작가
화진포해수욕장,"화진포해수욕장, 해변, 물놀이, 여름",http://tong.visitkorea.or.kr/cms2/website/92/1691692.jpg,강원도 고성,,1691692,17,20120813165829,20150702180356,한국관광공사 김지호
화진포해수욕장,"화진포해수욕장, 해변, 물놀이, 여름",http://tong.visitkorea.or.kr/cms2/website/90/1691690.jpg,강원도 고성,,1691690,17,20120813165630,20150702180245,한국관광공사 김지호
화진포해수욕장,"화진포해수욕장, 해변, 물놀이, 여름",http://tong.visitkorea.or.kr/cms2/website/58/1691658.jpg,강원도 고성,,1691658,17,20120813164352,20150702180157,한국관광공사 김지호
화진포해수욕장,"화진포해수욕장, 해변, 물놀이, 여름",http://tong.visitkorea.or.kr/cms2/website/52/1691652.jpg,강원도 고성,,1691652,17,20120813163804,20150702180140,한국관광공사 김지호
화진포해수욕장,"화진포해수욕장, 해변, 물놀이, 여름",http://tong.visitkorea.or.kr/cms2/website/69/1691669.jpg,강원도 고성,,1691669,17,20120813164838,20150702180107,한국관광공사 김지호
화진포해수욕장,"화진포해수욕장, 해변, 물놀이, 여름",http://tong.visitkorea.or.kr/cms2/website/53/1691653.jpg,강원도 고성,,1691653,17,20120813163804,20150702180047,한국관광공사 김지호
화진포해수욕장,"화진포해수욕장, 해변, 물놀이, 여름",http://tong.visitkorea.or.kr/cms2/website/50/1691650.jpg,강원도 고성,,1691650,17,20120813163623,20150702180038,한국관광공사 김지호
화진포해수욕장,"화진포해수욕장, 해변, 물놀이, 여름",http://tong.visitkorea.or.kr/cms2/website/49/1691649.jpg,강원도 고성,,1691649,17,20120813163435,20150702180021,한국관광공사 김지호
화진포해수욕장,"화진포해수욕장, 해변, 물놀이, 여름",http://tong.visitkorea.or.kr/cms2/website/47/1691647.jpg,강원도 고성,,1691647,17,20120813163134,20150702180009,한국관광공사 김지호
화진포해수욕장,"화진포해수욕장, 해변, 물놀이, 여름",http://tong.visitkorea.or.kr/cms2/website/70/1691670.jpg,강원도 고성,,1691670,17,20120813165036,20150702175944,한국관광공사 김지호
화진포해수욕장,"화진포해수욕장, 해변, 물놀이, 여름",http://tong.visitkorea.or.kr/cms2/website/79/1691679.jpg,강원도 고성,,1691679,17,20120813165343,20150702175915,한국관광공사 김지호
화진포해수욕장,"화진포해수욕장, 해변, 물놀이, 여름",http://tong.visitkorea.or.kr/cms2/website/20/1691620.jpg,강원도 고성,,1691620,17,20120813161505,20150702175745,한국관광공사 김지호
화진포해수욕장,"화진포해수욕장, 해변, 물놀이, 여름",http://tong.visitkorea.or.kr/cms2/website/09/1691609.jpg,강원도 고성,,1691609,17,20120813160304,20150702175634,한국관광공사 김지호
꽃지해수욕장,"꽃지해수욕장, 꽃지해변, 안면도, 물놀이, 여름, 휴가, 피서",http://tong.visitkorea.or.kr/cms2/website/03/1565903.jpg,충청남도 태안,,1565903,17,20120312112104,20151103134751,한국관광공사 김지호
