콘텐츠제목,주소,대표이미지(원본),대표이미지(썸네일),콘텐츠ID,콘텐츠타입ID,교과서속여행지,상세주소,대분류,중분류,소분류,저작권유형,GPSX좌표,GPSY좌표 ,MAP레벨,등록일,수정일,전화번호,지역코드,시군구코드
슬로보트,제주특별자치도 제주시 애월읍 하귀2길 46-16,http://tong.visitkorea.or.kr/cms/resource/68/2783168_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/68/2783168_image3_1.jpg,2782843,39,,,A05,A0502,A05020900,Type3,126.4143856280,33.4901296811,6,20211129231200,20250115161831,,39,4
백운보트장,경기도 의왕시 백운로 506-1,http://tong.visitkorea.or.kr/cms/resource/10/2753610_image2_1.jpeg,http://tong.visitkorea.or.kr/cms/resource/10/2753610_image3_1.jpeg,2743341,28,,(학의동),A03,A0301,A03010200,Type3,127.0013991678,37.3810345253,6,20210910232342,20250102112102,,31,24
블루보트게스트하우스 전주점,전북특별자치도 전주시 완산구 충경로 75,http://tong.visitkorea.or.kr/cms/resource/51/2611251_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/51/2611251_image3_1.JPG,2528149,32,,,B02,B0201,B02011100,Type3,127.1472700632,35.8189026431,6,20180104020150,20241222183431,010-6545-9049,37,12
유리바닥보트,제주특별자치도 서귀포시 안덕면 화순해안로106번길 8,http://tong.visitkorea.or.kr/cms/resource/67/3073167_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/67/3073167_image3_1.jpg,3073199,28,,,A03,A0301,A03010200,Type3,126.3364258198,33.2383007397,6,20231221141522,20241204183912,,39,3
바람의제트보트,경상남도 거제시 남부면 도장포1길 75,http://tong.visitkorea.or.kr/cms/resource/92/3060392_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/92/3060392_image3_1.JPG,3060420,28,,,A03,A0303,A03030100,Type3,128.6621818248,34.7433506093,6,20231206102731,20241125164957,,36,1
보트코리아 화성전시장,경기도 화성시 서신면 전곡항로 273,http://tong.visitkorea.or.kr/cms/resource/58/3004258_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/58/3004258_image3_1.jpg,3017597,28,,,A03,A0301,A03010200,Type3,126.6735202975,37.1930199508,6,20231004161536,20241121142722,,31,31
금빛수로보트하우스,경기도 김포시 장기동,http://tong.visitkorea.or.kr/cms/resource/73/3004773_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/73/3004773_image3_1.jpg,3007490,28,,,A03,A0303,A03030200,Type3,126.6765741878,37.6435565664,6,20230905153428,20241119113256,,31,8
도담삼봉 모터보트,충청북도 단양군 매포읍 삼봉로 644-13,,,2022070,28,,,A03,A0301,A03010200,,128.3418057718,37.0008140770,6,20150731235733,20241107173019,,33,2
여수모터보트협회,전라남도 여수시 수정동,http://tong.visitkorea.or.kr/cms/resource/12/3008312_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/12/3008312_image3_1.jpg,3008327,28,,3,A03,A0301,A03010200,Type3,127.7592549584,34.7428680471,6,20230904191808,20240827173411,,38,13
엑스포 마린 제트보트,전라남도 여수시 오동도로 61-13 여수 베네치아 호텔 앤 리조트,http://tong.visitkorea.or.kr/cms/resource/22/3008422_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/22/3008422_image3_1.jpg,3008431,28,,,A03,A0301,A03010200,Type3,127.7518721955,34.7458398082,6,20230904194027,20240826153635,,38,13
속초파워보트클럽,강원특별자치도 속초시 장사항해안길 56,http://tong.visitkorea.or.kr/cms/resource/46/2786346_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/46/2786346_image2_1.jpg,2782125,28,,(장사동),A03,A0301,A03010200,Type3,128.5882381954,38.2266964404,6,20211126231203,20240521091434,,32,5
