제목,이미지URL,촬영장소,검색키워드,콘텐츠ID,콘텐츠타입ID,등록일시,수정일시,사진작가
월정리해수욕장,http://tong.visitkorea.or.kr/cms2/website/15/3364915.jpg,제주특별자치도 제주시 구좌읍,"월정리해수욕장, 제주특별자치도 제주시, 제주도, 월정리해변, 바다, 바닷가, 물놀이, 서핑, 풍력발전기, 7월 추천여행지, 사진기자단, 프레임코리아2기",3364915,17,20240911111134,20241015235324,이정수
월정리해수욕장,http://tong.visitkorea.or.kr/cms2/website/93/3364893.jpg,제주특별자치도 제주시 구좌읍,"월정리해수욕장, 제주특별자치도 제주시, 제주도, 월정리해변, 바다, 바닷가, 물놀이, 서핑, 7월 추천여행지, 사진기자단, 프레임코리아2기",3364893,17,20240911104508,20241015235147,이정수
월정리해수욕장,http://tong.visitkorea.or.kr/cms2/website/12/3364912.jpg,제주특별자치도 제주시 구좌읍,"월정리해수욕장, 제주특별자치도 제주시, 제주도, 월정리해변, 바다, 바닷가, 물놀이, 서핑, 7월 추천여행지, 사진기자단, 프레임코리아2기",3364912,17,20240911110839,20241015235018,이정수
월정리해수욕장,http://tong.visitkorea.or.kr/cms2/website/62/3364862.jpg,제주특별자치도 제주시 구좌읍,"월정리해수욕장, 제주특별자치도 제주시, 제주도, 월정리해변, 바다, 바닷가, 물놀이, 서핑, 풍력발전기, 7월 추천여행지, 사진기자단, 프레임코리아2기",3364862,17,20240911102104,20241015234602,이정수
월정리해수욕장,http://tong.visitkorea.or.kr/cms2/website/19/3364919.jpg,제주특별자치도 제주시 구좌읍,"월정리해수욕장, 제주특별자치도 제주시, 제주도, 월정리해변, 바다, 바닷가, 물놀이, 서핑, 7월 추천여행지, 사진기자단, 프레임코리아2기",3364919,17,20240911111311,20241015234315,이정수
월정리해수욕장,http://tong.visitkorea.or.kr/cms2/website/18/3364918.jpg,제주특별자치도 제주시 구좌읍,"월정리해수욕장, 제주특별자치도 제주시, 제주도, 월정리해변, 바다, 바닷가, 물놀이, 서핑, 7월 추천여행지, 사진기자단, 프레임코리아2기",3364918,17,20240911111250,20241015233945,이정수
월정리해수욕장,http://tong.visitkorea.or.kr/cms2/website/17/3364917.jpg,제주특별자치도 제주시 구좌읍,"월정리해수욕장, 제주특별자치도 제주시, 제주도, 월정리해변, 바다, 바닷가, 물놀이, 서핑, 풍력발전기, 7월 추천여행지, 사진기자단, 프레임코리아2기",3364917,17,20240911111222,20241015233934,이정수
월정리해수욕장,http://tong.visitkorea.or.kr/cms2/website/14/3364914.jpg,제주특별자치도 제주시 구좌읍,"월정리해수욕장, 제주특별자치도 제주시, 제주도, 월정리해변, 바다, 바닷가, 물놀이, 서핑, 풍력발전기, 7월 추천여행지, 사진기자단, 프레임코리아2기",3364914,17,20240911111007,20241015233852,이정수
힐링 서프,http://tong.visitkorea.or.kr/cms2/website/37/3415137.jpg,"부산광역시 사하구 다대동, 다대포해수욕장","2024 대한민국 관광공모전(사진), 한국의 특별한 순간, 힐링 서프, 부산광역시 사하구, 다대포해수욕장, 대대포해변, 바다, 바닷가, 서핑, 서프보드, 일몰, 노을, 석양",3415137,17,20241113175832,20241205180528,황윤철
월정리해수욕장,http://tong.visitkorea.or.kr/cms2/website/99/2860899.jpg,제주특별자치도 제주시 구좌읍,"월정리해수욕장, 제주특별자치도 제주시, 월정리해변, 제주도 바다, 제주 바다, 서핑, 수상스포츠, 서프보드",2860899,17,20220927141353,20220927141403,한국관광공사 이범수
