검색키워드,콘텐츠제목,지역코드,시군구코드,주소,대표이미지(원본),대표이미지(썸네일),교과서속여행지,상세주소,대분류,중분류,소분류,콘텐츠ID,콘텐츠타입ID,저작권유형,GPSX좌표,GPSY좌표 ,MAP레벨,등록일,수정일,전화번호
,2025 동행축제와 함께하는 대한민국 상생 영수증 콘서트 in 세종,8,1,세종특별자치시 중앙공원로 60 (세종동),http://tong.visitkorea.or.kr/cms/resource/93/3486893_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/93/3486893_image3_1.png,,,A02,A0208,A02081000,3486898,15,Type3,127.2701689309,36.4913335625,6,20250415155413,20250416102450,070-4103-4711
,예천활축제,35,16,경상북도 예천군 예천읍 남본리,http://tong.visitkorea.or.kr/cms/resource/19/3113119_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/19/3113119_image3_1.jpg,,310-1 한천체육공원,A02,A0207,A02070200,1937428,15,Type3,128.4524337395,36.6530143464,6,20140728191454,20250415144722,054-650-6037
,센텀맥주축제,6,16,부산광역시 해운대구 수영강변대로 120 (우동),http://tong.visitkorea.or.kr/cms/resource/93/3300693_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/93/3300693_image3_1.jpg,,"부산광역시 해운대구 우동, 영화의전당",A02,A0207,A02070200,1816618,15,Type3,129.1270687971,35.1710029572,6,20130605181015,20250415144053,051-850-9344<br>051-740-4116
,울산쇠부리축제,7,4,울산광역시 북구 달천철장길 58 (달천동),http://tong.visitkorea.or.kr/cms/resource/11/3483111_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/11/3483111_image3_1.jpg,,,A02,A0207,A02070200,538458,15,Type3,129.3290188345,35.6342825006,6,20080417221240,20250415143051,052-293-3500
,우도 소라축제,39,4,제주특별자치도 제주시 우도면 우도해안길 70,http://tong.visitkorea.or.kr/cms/resource/81/3486881_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/81/3486881_image3_1.jpg,,,A02,A0207,A02070200,3108284,15,Type3,126.9515555965,33.4928352215,6,20240307175700,20250415140553,064-728-4329
,DDP 봄축제 : 디자인 테마파크,1,24,서울특별시 중구 을지로 281,http://tong.visitkorea.or.kr/cms/resource/00/3304500_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/00/3304500_image3_1.jpg,,,A02,A0207,A02070200,2968672,15,Type3,127.0095709797,37.5661076320,6,20230413140011,20250415134726,02-2088-4957
,서울세계도시문화축제,1,24,서울특별시 중구 을지로 281 (을지로7가),http://tong.visitkorea.or.kr/cms/resource/26/3114826_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/26/3114826_image3_1.jpg,,동대문디자인플라자,A02,A0207,A02070200,2738786,15,Type3,127.0095709797,37.5661076320,6,20210901224706,20250415103645,070-5143-5662
,담양 대나무축제,38,7,전라남도 담양군 담양읍 죽녹원로 134,http://tong.visitkorea.or.kr/cms/resource/02/3486702_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/02/3486702_image3_1.jpg,,,A02,A0207,A02070100,506480,15,Type3,126.9880941182,35.3256086468,6,20080307180542,20250415101256,061-380-3152
,제17회 해피사이언스축제,31,3,경기도 과천시 상하벌로 110 (과천동),http://tong.visitkorea.or.kr/cms/resource/68/3486768_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/68/3486768_image3_1.png,,,A02,A0208,A02080600,2816127,15,Type3,127.0047138503,37.4408665329,6,20220413164529,20250415094008,010-5535-6941
,울산축협 한우축제,7,2,울산광역시 남구 신정동,http://tong.visitkorea.or.kr/cms/resource/52/3486752_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/52/3486752_image3_1.jpg,,1513 울산광역시 태화강 남구둔치,A02,A0207,A02070200,3394865,15,Type3,129.3076647311,35.5504859689,6,20241022141242,20250415091320,052-220-0613
,보롬왓 메밀축제,39,3,제주특별자치도 서귀포시 표선면 번영로 2350-104,http://tong.visitkorea.or.kr/cms/resource/40/3486740_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/40/3486740_image3_1.jpg,,보롬왓,A02,A0207,A02070200,2798913,15,Type3,126.7525080052,33.4135241052,6,20211215225118,20250414174134,010-7362-2345
