제목,검색키워드,이미지URL,촬영장소,촬영월,콘텐츠ID,콘텐츠타입ID,등록일시,수정일시,사진작가
돈내코유원지,"돈내코유원지, 제주특별자치도 서귀포시, 제주도, 원앙폭포, 물놀이, 수영, 8월 추천여행지, 사진기자단, 프레임코리아2기",http://tong.visitkorea.or.kr/cms2/website/54/3392654.jpg,제주특별자치도 서귀포시 상효동,,3392654,17,20241020165223,20241020165249,이정수
돈내코유원지,"돈내코유원지, 제주특별자치도 서귀포시, 제주도, 원앙폭포, 물놀이, 수영, 8월 추천여행지, 사진기자단, 프레임코리아2기",http://tong.visitkorea.or.kr/cms2/website/52/3392652.jpg,제주특별자치도 서귀포시 상효동,,3392652,17,20241020165007,20241020165029,이정수
한섬해수욕장,"한섬해수욕장, 강원특별자치도 동해시, 강원도, 한섬해변, 바다, 바닷가, 물놀이, 수영, 8월 추천여행지, 사진기자단, 프레임코리아2기",http://tong.visitkorea.or.kr/cms2/website/21/3389221.jpg,강원특별자치도 동해시 천곡동,,3389221,17,20241016155040,20241016155046,김경기
한섬해수욕장,"한섬해수욕장, 강원특별자치도 동해시, 강원도, 한섬해변, 바다, 바닷가, 물놀이, 수영, 8월 추천여행지, 사진기자단, 프레임코리아2기",http://tong.visitkorea.or.kr/cms2/website/13/3389213.jpg,강원특별자치도 동해시 천곡동,,3389213,17,20241016154908,20241016154927,김경기
한섬해수욕장,"한섬해수욕장, 강원특별자치도 동해시, 강원도, 한섬해변, 바다, 물놀이, 수영, 8월 추천여행지, 사진기자단, 프레임코리아2기",http://tong.visitkorea.or.kr/cms2/website/12/3389212.jpg,강원특별자치도 동해시 천곡동,,3389212,17,20241016154840,20241016154846,김경기
월정리해수욕장,"월정리해수욕장, 제주특별자치도 제주시, 제주도, 월정리해변, 바다, 바닷가, 물놀이, 서핑, 풍력발전기, 7월 추천여행지, 사진기자단, 프레임코리아2기",http://tong.visitkorea.or.kr/cms2/website/15/3364915.jpg,제주특별자치도 제주시 구좌읍,,3364915,17,20240911111134,20241015235324,이정수
월정리해수욕장,"월정리해수욕장, 제주특별자치도 제주시, 제주도, 월정리해변, 바다, 바닷가, 물놀이, 풍력발전기, 7월 추천여행지, 사진기자단, 프레임코리아2기",http://tong.visitkorea.or.kr/cms2/website/30/3364930.jpg,제주특별자치도 제주시 구좌읍,,3364930,17,20240911111833,20241015235223,이정수
월정리해수욕장,"월정리해수욕장, 제주특별자치도 제주시, 제주도, 월정리해변, 바다, 바닷가, 물놀이, 서핑, 7월 추천여행지, 사진기자단, 프레임코리아2기",http://tong.visitkorea.or.kr/cms2/website/93/3364893.jpg,제주특별자치도 제주시 구좌읍,,3364893,17,20240911104508,20241015235147,이정수
월정리해수욕장,"월정리해수욕장, 제주특별자치도 제주시, 제주도, 월정리해변, 바다, 바닷가, 물놀이, 7월 추천여행지, 사진기자단, 프레임코리아2기",http://tong.visitkorea.or.kr/cms2/website/11/3364911.jpg,제주특별자치도 제주시 구좌읍,,3364911,17,20240911110754,20241015235137,이정수
월정리해수욕장,"월정리해수욕장, 제주특별자치도 제주시, 제주도, 월정리해변, 바다, 바닷가, 물놀이, 서핑, 7월 추천여행지, 사진기자단, 프레임코리아2기",http://tong.visitkorea.or.kr/cms2/website/12/3364912.jpg,제주특별자치도 제주시 구좌읍,,3364912,17,20240911110839,20241015235018,이정수
월정리해수욕장,"월정리해수욕장, 제주특별자치도 제주시, 제주도, 월정리해변, 바다, 바닷가, 물놀이, 서핑, 풍력발전기, 7월 추천여행지, 사진기자단, 프레임코리아2기",http://tong.visitkorea.or.kr/cms2/website/62/3364862.jpg,제주특별자치도 제주시 구좌읍,,3364862,17,20240911102104,20241015234602,이정수
월정리해수욕장,"월정리해수욕장, 제주특별자치도 제주시, 제주도, 월정리해변, 바다, 바닷가, 물놀이, 파라솔, 7월 추천여행지, 사진기자단, 프레임코리아2기",http://tong.visitkorea.or.kr/cms2/website/24/3364924.jpg,제주특별자치도 제주시 구좌읍,,3364924,17,20240911111514,20241015234459,이정수
월정리해수욕장,"월정리해수욕장, 제주특별자치도 제주시, 제주도, 월정리해변, 바다, 바닷가, 물놀이, 서핑, 7월 추천여행지, 사진기자단, 프레임코리아2기",http://tong.visitkorea.or.kr/cms2/website/19/3364919.jpg,제주특별자치도 제주시 구좌읍,,3364919,17,20240911111311,20241015234315,이정수
월정리해수욕장,"월정리해수욕장, 제주특별자치도 제주시, 제주도, 월정리해변, 바다, 바닷가, 물놀이, 파라솔, 7월 추천여행지, 사진기자단, 프레임코리아2기",http://tong.visitkorea.or.kr/cms2/website/28/3364928.jpg,제주특별자치도 제주시 구좌읍,,3364928,17,20240911111714,20241015234127,이정수
월정리해수욕장,"월정리해수욕장, 제주특별자치도 제주시, 제주도, 월정리해변, 바다, 바닷가, 물놀이, 서핑, 7월 추천여행지, 사진기자단, 프레임코리아2기",http://tong.visitkorea.or.kr/cms2/website/18/3364918.jpg,제주특별자치도 제주시 구좌읍,,3364918,17,20240911111250,20241015233945,이정수
월정리해수욕장,"월정리해수욕장, 제주특별자치도 제주시, 제주도, 월정리해변, 바다, 바닷가, 물놀이, 서핑, 풍력발전기, 7월 추천여행지, 사진기자단, 프레임코리아2기",http://tong.visitkorea.or.kr/cms2/website/17/3364917.jpg,제주특별자치도 제주시 구좌읍,,3364917,17,20240911111222,20241015233934,이정수
월정리해수욕장,"월정리해수욕장, 제주특별자치도 제주시, 제주도, 월정리해변, 바다, 바닷가, 물놀이, 서핑, 풍력발전기, 7월 추천여행지, 사진기자단, 프레임코리아2기",http://tong.visitkorea.or.kr/cms2/website/14/3364914.jpg,제주특별자치도 제주시 구좌읍,,3364914,17,20240911111007,20241015233852,이정수
세기알해변,"세기알해변, 제주특별자치도 제주시, 제주도, 세기알해수욕장, 바다, 바닷가, 물놀이, 일몰, 석양, 노을, 7월 추천여행지, 사진기자단, 프레임코리아2기",http://tong.visitkorea.or.kr/cms2/website/95/3364295.jpg,제주특별자치도 제주시 구좌읍,,3364295,17,20240910170549,20240910170558,이정수
세기알해변,"세기알해변, 제주특별자치도 제주시, 제주도, 세기알해수욕장, 바다, 바닷가, 물놀이, 일몰, 석양, 노을, 7월 추천여행지, 사진기자단, 프레임코리아2기",http://tong.visitkorea.or.kr/cms2/website/94/3364294.jpg,제주특별자치도 제주시 구좌읍,,3364294,17,20240910170520,20240910170531,이정수
세기알해변,"세기알해변, 제주특별자치도 제주시, 제주도, 세기알해수욕장, 바다, 바닷가, 물놀이, 풍력발전기, 7월 추천여행지, 사진기자단, 프레임코리아2기",http://tong.visitkorea.or.kr/cms2/website/85/3364285.jpg,제주특별자치도 제주시 구좌읍,,3364285,17,20240910170203,20240910170218,이정수
세기알해변,"세기알해변, 제주특별자치도 제주시, 제주도, 세기알해수욕장, 바다, 바닷가, 물놀이, 풍력발전기, 7월 추천여행지, 사진기자단, 프레임코리아2기",http://tong.visitkorea.or.kr/cms2/website/72/3364272.jpg,제주특별자치도 제주시 구좌읍,,3364272,17,20240910170038,20240910170046,이정수
세기알해변,"세기알해변, 제주특별자치도 제주시, 제주도, 세기알해수욕장, 바다, 바닷가, 물놀이, 7월 추천여행지, 사진기자단, 프레임코리아2기",http://tong.visitkorea.or.kr/cms2/website/57/3364257.jpg,제주특별자치도 제주시 구좌읍,,3364257,17,20240910165944,20240910165954,이정수
세기알해변,"세기알해변, 제주특별자치도 제주시, 제주도, 세기알해수욕장, 바다, 바닷가, 물놀이, 풍력발전기, 7월 추천여행지, 사진기자단, 프레임코리아2기",http://tong.visitkorea.or.kr/cms2/website/50/3364250.jpg,제주특별자치도 제주시 구좌읍,,3364250,17,20240910165833,20240910165843,이정수
세기알해변,"세기알해변, 제주특별자치도 제주시, 제주도, 세기알해수욕장, 바다, 바닷가, 물놀이, 풍력발전기, 7월 추천여행지, 사진기자단, 프레임코리아2기",http://tong.visitkorea.or.kr/cms2/website/49/3364249.jpg,제주특별자치도 제주시 구좌읍,,3364249,17,20240910165753,20240910165810,이정수
세기알해변,"세기알해변, 제주특별자치도 제주시, 제주도, 세기알해수욕장, 바다, 바닷가, 물놀이, 풍력발전기, 7월 추천여행지, 사진기자단, 프레임코리아2기",http://tong.visitkorea.or.kr/cms2/website/48/3364248.jpg,제주특별자치도 제주시 구좌읍,,3364248,17,20240910165724,20240910165733,이정수
세기알해변,"세기알해변, 제주특별자치도 제주시, 제주도, 세기알해수욕장, 바다, 바닷가, 물놀이, 7월 추천여행지, 사진기자단, 프레임코리아2기",http://tong.visitkorea.or.kr/cms2/website/47/3364247.jpg,제주특별자치도 제주시 구좌읍,,3364247,17,20240910165650,20240910165700,이정수
세기알해변,"세기알해변, 제주특별자치도 제주시, 제주도, 세기알해수욕장, 바다, 바닷가, 물놀이, 7월 추천여행지, 사진기자단, 프레임코리아2기",http://tong.visitkorea.or.kr/cms2/website/46/3364246.jpg,제주특별자치도 제주시 구좌읍,,3364246,17,20240910165623,20240910165633,이정수
세기알해변,"세기알해변, 제주특별자치도 제주시, 제주도, 세기알해수욕장, 바다, 물놀이, 풍력발전기, 7월 추천여행지, 사진기자단, 프레임코리아2기",http://tong.visitkorea.or.kr/cms2/website/40/3364240.jpg,제주특별자치도 제주시 구좌읍,,3364240,17,20240910165543,20240910165556,이정수
세기알해변,"세기알해변, 제주특별자치도 제주시, 제주도, 세기알해수욕장, 바다, 바닷가, 물놀이, 7월 추천여행지, 사진기자단, 프레임코리아2기",http://tong.visitkorea.or.kr/cms2/website/39/3364239.jpg,제주특별자치도 제주시 구좌읍,,3364239,17,20240910165501,20240910165510,이정수
세기알해변,"세기알해변, 제주특별자치도 제주시, 제주도, 세기알해수욕장, 바다, 물놀이, 풍력발전기, 7월 추천여행지, 사진기자단, 프레임코리아2기",http://tong.visitkorea.or.kr/cms2/website/36/3364236.jpg,제주특별자치도 제주시 구좌읍,,3364236,17,20240910165410,20240910165425,이정수
세기알해변,"세기알해변, 제주특별자치도 제주시, 제주도, 세기알해수욕장, 바다, 물놀이, 풍력발전기, 7월 추천여행지, 사진기자단, 프레임코리아2기",http://tong.visitkorea.or.kr/cms2/website/23/3364223.jpg,제주특별자치도 제주시 구좌읍,,3364223,17,20240910165315,20240910165342,이정수
세기알해변,"세기알해변, 제주특별자치도 제주시, 제주도, 세기알해수욕장, 바다,  물놀이, 스노클링, 7월 추천여행지, 사진기자단, 프레임코리아2기",http://tong.visitkorea.or.kr/cms2/website/15/3364215.jpg,제주특별자치도 제주시 구좌읍,,3364215,17,20240910165128,20240910165238,이정수
세기알해변,"세기알해변, 제주특별자치도 제주시, 제주도, 세기알해수욕장, 바다, 바닷가, 물놀이, 7월 추천여행지, 사진기자단, 프레임코리아2기",http://tong.visitkorea.or.kr/cms2/website/14/3364214.jpg,제주특별자치도 제주시 구좌읍,,3364214,17,20240910165100,20240910165110,이정수
세기알해변,"세기알해변, 제주특별자치도 제주시, 제주도, 세기알해수욕장, 바다, 물놀이, 풍력발전기, 7월 추천여행지, 사진기자단, 프레임코리아2기",http://tong.visitkorea.or.kr/cms2/website/13/3364213.jpg,제주특별자치도 제주시 구좌읍,,3364213,17,20240910165014,20240910165021,이정수
세기알해변,"세기알해변, 제주특별자치도 제주시, 제주도, 세기알해수욕장, 바다, 물놀이, 풍력발전기, 7월 추천여행지, 사진기자단, 프레임코리아2기",http://tong.visitkorea.or.kr/cms2/website/05/3364205.jpg,제주특별자치도 제주시 구좌읍,,3364205,17,20240910164913,20240910164950,이정수
세기알해변,"세기알해변, 제주특별자치도 제주시, 제주도, 세기알해수욕장, 바다, 물놀이, 풍력발전기, 7월 추천여행지, 사진기자단, 프레임코리아2기",http://tong.visitkorea.or.kr/cms2/website/04/3364204.jpg,제주특별자치도 제주시 구좌읍,,3364204,17,20240910164838,20240910164847,이정수
세기알해변,"세기알해변, 제주특별자치도 제주시, 제주도, 세기알해수욕장, 바다, 물놀이, 등대, 7월 추천여행지, 사진기자단, 프레임코리아2기",http://tong.visitkorea.or.kr/cms2/website/91/3364191.jpg,제주특별자치도 제주시 구좌읍,,3364191,17,20240910164623,20240910164657,이정수
세기알해변,"세기알해변, 제주특별자치도 제주시, 제주도, 세기알해수욕장, 바다, 바닷가, 물놀이, 7월 추천여행지, 사진기자단, 프레임코리아2기",http://tong.visitkorea.or.kr/cms2/website/90/3364190.jpg,제주특별자치도 제주시 구좌읍,,3364190,17,20240910164544,20240910164553,이정수
세기알해변,"세기알해변, 제주특별자치도 제주시, 제주도, 세기알해수욕장, 바다, 물놀이, 등대, 7월 추천여행지, 사진기자단, 프레임코리아2기",http://tong.visitkorea.or.kr/cms2/website/68/3364168.jpg,제주특별자치도 제주시 구좌읍,,3364168,17,20240910164507,20240910164516,이정수
김녕성세기해변,"김녕성세기해변, 제주특별자치도 제주시, 제주도, 김녕성세기해수욕장, 김녕해변, 김녕해수욕장, 바다, 바닷가, 물놀이, 풍력발전기, 7월 추천여행지, 사진기자단, 프레임코리아2기",http://tong.visitkorea.or.kr/cms2/website/43/3364043.jpg,제주특별자치도 제주시 구좌읍,,3364043,17,20240910155829,20240910164430,이정수
김녕성세기해변,"김녕성세기해변, 제주특별자치도 제주시, 제주도, 김녕성세기해수욕장, 김녕해변, 김녕해수욕장, 바다, 바닷가, 물놀이, 풍력발전기, 7월 추천여행지, 사진기자단, 프레임코리아2기",http://tong.visitkorea.or.kr/cms2/website/50/3364050.jpg,제주특별자치도 제주시 구좌읍,,3364050,17,20240910160146,20240910164403,이정수
김녕성세기해변,"김녕성세기해변, 제주특별자치도 제주시, 제주도, 김녕성세기해수욕장, 김녕해변, 김녕해수욕장, 바다, 바닷가, 물놀이, 파라솔, 7월 추천여행지, 사진기자단, 프레임코리아2기",http://tong.visitkorea.or.kr/cms2/website/52/3364052.jpg,제주특별자치도 제주시 구좌읍,,3364052,17,20240910160318,20240910164349,이정수
김녕성세기해변,"김녕성세기해변, 제주특별자치도 제주시, 제주도, 김녕성세기해수욕장, 김녕해변, 김녕해수욕장, 바다, 바닷가, 물놀이, 파라솔, 풍력발전기, 7월 추천여행지, 사진기자단, 프레임코리아2기",http://tong.visitkorea.or.kr/cms2/website/69/3364069.jpg,제주특별자치도 제주시 구좌읍,,3364069,17,20240910161447,20240910164334,이정수
김녕성세기해변,"김녕성세기해변, 제주특별자치도 제주시, 제주도, 김녕성세기해수욕장, 김녕해변, 김녕해수욕장, 바다, 바닷가, 물놀이, 파라솔, 7월 추천여행지, 사진기자단, 프레임코리아2기",http://tong.visitkorea.or.kr/cms2/website/05/3364105.jpg,제주특별자치도 제주시 구좌읍,,3364105,17,20240910162620,20240910164317,이정수
김녕성세기해변,"김녕성세기해변, 제주특별자치도 제주시, 제주도, 김녕성세기해수욕장, 김녕해변, 김녕해수욕장, 바다, 바닷가, 물놀이, 파라솔, 7월 추천여행지, 사진기자단, 프레임코리아2기",http://tong.visitkorea.or.kr/cms2/website/08/3364108.jpg,제주특별자치도 제주시 구좌읍,,3364108,17,20240910162651,20240910164302,이정수
김녕성세기해변,"김녕성세기해변, 제주특별자치도 제주시, 제주도, 김녕성세기해수욕장, 김녕해변, 김녕해수욕장, 바다, 바닷가, 물놀이, 텐트, 파라솔, 7월 추천여행지, 사진기자단, 프레임코리아2기",http://tong.visitkorea.or.kr/cms2/website/37/3364137.jpg,제주특별자치도 제주시 구좌읍,,3364137,17,20240910162903,20240910164248,이정수
김녕성세기해변,"김녕성세기해변, 제주특별자치도 제주시, 제주도, 김녕성세기해수욕장, 김녕해변, 김녕해수욕장, 바다, 바닷가, 물놀이, 파라솔, 풍력발전기, 7월 추천여행지, 사진기자단, 프레임코리아2기",http://tong.visitkorea.or.kr/cms2/website/49/3364149.jpg,제주특별자치도 제주시 구좌읍,,3364149,17,20240910163513,20240910164236,이정수
김녕성세기해변,"김녕성세기해변, 제주특별자치도 제주시, 제주도, 김녕성세기해수욕장, 김녕해변, 김녕해수욕장, 바다, 바닷가, 물놀이, 풍력발전기, 7월 추천여행지, 사진기자단, 프레임코리아2기",http://tong.visitkorea.or.kr/cms2/website/50/3364150.jpg,제주특별자치도 제주시 구좌읍,,3364150,17,20240910163559,20240910164222,이정수
김녕성세기해변,"김녕성세기해변, 제주특별자치도 제주시, 제주도, 김녕성세기해수욕장, 김녕해변, 김녕해수욕장, 바다, 바닷가, 물놀이, 파라솔, 풍력발전기, 7월 추천여행지, 사진기자단, 프레임코리아2기",http://tong.visitkorea.or.kr/cms2/website/54/3364154.jpg,제주특별자치도 제주시 구좌읍,,3364154,17,20240910163815,20240910164205,이정수
김녕성세기해변,"김녕성세기해변, 제주특별자치도 제주시, 제주도, 김녕성세기해수욕장, 김녕해변, 김녕해수욕장, 바다, 바닷가, 물놀이, 파라솔, 풍력발전기, 7월 추천여행지, 사진기자단, 프레임코리아2기",http://tong.visitkorea.or.kr/cms2/website/55/3364155.jpg,제주특별자치도 제주시 구좌읍,,3364155,17,20240910163843,20240910164153,이정수
세기알해변,"세기알해변, 제주특별자치도 제주시, 제주도, 세기알해수욕장, 바다, 물놀이, 7월 추천여행지, 사진기자단, 프레임코리아2기",http://tong.visitkorea.or.kr/cms2/website/61/3364161.jpg,제주특별자치도 제주시 구좌읍,,3364161,17,20240910164106,20240910164121,이정수
김녕성세기해변,"김녕성세기해변, 제주특별자치도 제주시, 제주도, 김녕성세기해수욕장, 김녕해변, 김녕해수욕장, 바다, 물놀이, 7월 추천여행지, 사진기자단, 프레임코리아2기",http://tong.visitkorea.or.kr/cms2/website/68/3364068.jpg,제주특별자치도 제주시 구좌읍,,3364068,17,20240910161252,20240910161424,이정수
김녕성세기해변,"김녕성세기해변, 제주특별자치도 제주시, 제주도, 김녕성세기해수욕장, 김녕해변, 김녕해수욕장, 바다, 물놀이, 풍력발전기, 7월 추천여행지, 사진기자단, 프레임코리아2기",http://tong.visitkorea.or.kr/cms2/website/67/3364067.jpg,제주특별자치도 제주시 구좌읍,,3364067,17,20240910160846,20240910161405,이정수
흥겨운농악놀이,"2022 대한민국 관광공모전(스마트폰), 흥겨운 농악놀이, 전라북도 남원시, 명승 제33호, 광한루원, 정원, 오작교, 사물놀이, 풍물놀이",http://tong.visitkorea.or.kr/cms2/website/03/2925703.jpg,전라북도 남원시 천거동,,2925703,17,20221130150259,20230102102725,노명희
