콘텐츠제목,주소,대표이미지(원본),대표이미지(썸네일),콘텐츠ID,콘텐츠타입ID,교과서속여행지,상세주소,대분류,중분류,소분류,저작권유형,GPSX좌표,GPSY좌표 ,MAP레벨,등록일,수정일,전화번호,지역코드,시군구코드
"서피비치, 서핑(양양)",강원특별자치도 양양군 현북면 하조대해안길 119,http://tong.visitkorea.or.kr/cms/resource/90/2745190_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/90/2745190_image3_1.jpg,2501905,28,,(현북면),A03,A0303,A03030100,Type3,128.7175465614,38.0278081942,6,20170731192929,20250325113758,033-672-0695,32,7
제주 서핑도 실내서핑장,제주특별자치도 제주시 애월읍 광령평화3길 21,http://tong.visitkorea.or.kr/cms/resource/88/3464488_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/88/3464488_image3_1.jpg,3464225,28,,,A03,A0303,A03030100,Type3,126.4325683462,33.4473208188,6,20250107175202,20250320111120,,39,4
송정서핑학교,부산광역시 해운대구 송정해변로 28 (송정동),http://tong.visitkorea.or.kr/cms/resource/72/2787972_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/72/2787972_image2_1.jpg,2784112,28,,2층,A03,A0303,A03030100,Type3,129.2030480233,35.1811060126,6,20211201013435,20241213164909,,6,16
가람수상스키 웨이크보드 웨이크서핑,경기도 남양주시 화도읍 금남리 146 가람수상레져,http://tong.visitkorea.or.kr/cms/resource/53/3045753_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/53/3045753_image3_1.JPG,3045767,28,,,A03,A0301,A03010200,Type3,127.3680193406,37.6477240882,6,20231122100649,20241125134647,,31,9
거창서핑파크,경상남도 거창군 위천면 거차1길 23-18,,,2721484,28,,,A03,A0302,A03021700,,127.8363691322,35.7480089283,6,20210616195701,20241015170501,,36,2
넵튠 수상레저 & 웨이크서핑 인싸서프,경기도 남양주시 화도읍 금남리,http://tong.visitkorea.or.kr/cms/resource/01/3017901_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/01/3017901_image3_1.JPG,3017977,28,,672,A03,A0303,A03030100,Type3,127.3444168555,37.6157523707,6,20231005115514,20240903150759,,31,9
서핑존,경기도 오산시 세마역로41번길 19,http://tong.visitkorea.or.kr/cms/resource/03/2761603_image2_1.jpeg,http://tong.visitkorea.or.kr/cms/resource/03/2761603_image2_1.jpeg,2761534,28,,(세교동),A03,A0303,A03030100,Type3,127.0433147428,37.1847635618,6,20211025192654,20240816171253,,31,22
서핑라이더 분당점,경기도 광주시 오포읍 능평로 116-21,http://tong.visitkorea.or.kr/cms/resource/24/2764224_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/24/2764224_image2_1.png,2751276,28,,,A03,A0303,A03030100,Type3,127.1704347455,37.3480219404,6,20210929224331,20240805000001,,31,5
엠엘피서프(엠엘피서핑),충청남도 태안군 소원면 만리포2길 172,http://tong.visitkorea.or.kr/cms/resource/37/2770737_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/37/2770737_image2_1.jpg,2769817,28,,,A03,A0303,A03030100,Type3,126.1451124746,36.7883742958,6,20211108222550,20240725154449,,34,14
서울윈드서핑장,서울특별시 광진구 강변북로 2140,http://tong.visitkorea.or.kr/cms/resource/39/2784439_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/39/2784439_image2_1.jpg,2743751,28,,(자양동),A03,A0303,A03030100,Type3,127.0789852161,37.5268578839,6,20210913195618,20240708154554,,1,6
거창서핑파크,경상남도 거창군 위천면 거차1길 23-18,,,3103316,32,,,B02,B0201,B02010700,,127.8363413675,35.7476089724,6,20240221103927,20240324201837,055-945-8800,36,2
