TITLE,ADDR1,FIRST_IMG,FIRST_IMG2,KEYID,KEYTYPE,BOOKTOUR,ADR2,CAT1,CAT2,CAT3,CPYRIGHT,GPSX,GPSY,MAPLEVEL,CREATED,MODIFIED,TEL,AREA1,AREA2
경호강래프팅,경상남도 산청군 산청읍 꽃봉산로34번길 77,http://tong.visitkorea.or.kr/cms/resource/23/1611423_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/23/1611423_image3_1.jpg,131853,28,,,A03,A0303,A03030800,Type3,127.8661282674,35.4105587415,6,20060607090000,20250404101915,055-972-2002,36,9
연대천래프팅,강원특별자치도 영월군 영월읍 섭새길 59,http://tong.visitkorea.or.kr/cms/resource/26/1846426_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/26/1846426_image3_1.jpg,131963,28,,,A03,A0303,A03030800,Type3,128.5119059502,37.2319712562,6,20070514090000,20250402163047,,32,8
동강드림래프팅,강원특별자치도 영월군 영월읍 어라연길 48,http://tong.visitkorea.or.kr/cms/resource/51/1947351_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/51/1947351_image3_1.jpg,131941,28,,,A03,A0303,A03030800,Type3,128.5171803963,37.2346793779,6,20070420090000,20250401132101,1899-3168,32,8
한탄강 래프팅,강원특별자치도 철원군 갈말읍 삼부연로,http://tong.visitkorea.or.kr/cms/resource/67/1846567_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/67/1846567_image3_1.jpg,131773,28,,,A03,A0303,A03030800,Type3,127.3134347336,38.1468538192,6,20040506090000,20250331151114,,32,12
동강 래프팅(영월),강원특별자치도 영월군 영월읍 제방안길,http://tong.visitkorea.or.kr/cms/resource/00/1822100_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/00/1822100_image3_1.jpg,131774,28,,(영월읍),A03,A0303,A03030800,Type3,128.5038327432,37.1959002553,6,20060509090000,20250327142102,033-370-2946,32,8
썸머쿨래프팅,강원특별자치도 영월군 영월읍 동강로 241,http://tong.visitkorea.or.kr/cms/resource/03/1947703_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/03/1947703_image3_1.jpg,131971,28,,,A03,A0303,A03030800,Type3,128.5064184469,37.2018385101,6,20070604090000,20250326093049,033-372-1412,32,8
영월동강삼성래프팅,강원특별자치도 영월군 영월읍 동강로 245-4,http://tong.visitkorea.or.kr/cms/resource/02/3394602_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/02/3394602_image3_1.JPG,131945,28,,,A03,A0303,A03030800,Type3,128.5061434589,37.2022690107,6,20070423090000,20250319091031,,32,8
사람과바다 래프팅,경상남도 산청군 산청읍 웅석봉로86번길 9-5,http://tong.visitkorea.or.kr/cms/resource/96/2383596_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/96/2383596_image2_1.jpg,131854,28,,,A03,A0303,A03030800,Type3,127.8722138602,35.4098894804,6,20060613090000,20250318193811,055-974-2000,36,9
남한강 래프팅(단양),충청북도 단양군 영춘면 강변로 704,http://tong.visitkorea.or.kr/cms/resource/52/1846552_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/52/1846552_image3_1.jpg,131787,28,,,A03,A0303,A03030800,Type3,128.4866152711,37.0872735337,6,20040507090000,20250313175001,,33,2
강사랑래프팅,강원특별자치도 영월군 영월읍 동강로 878,http://tong.visitkorea.or.kr/cms/resource/56/1822156_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/56/1822156_image3_1.jpg,131970,28,,,A03,A0303,A03030800,Type3,128.5133779016,37.2366374137,6,20070601090000,20250114171051,033-375-6926,32,8
섬진레저스쿨래프팅,전라남도 구례군 남도대교로 412,http://tong.visitkorea.or.kr/cms/resource/02/2790402_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/02/2790402_image2_1.jpg,2787129,28,,,A03,A0303,A03030800,Type3,127.5883970845,35.2011024884,6,20211207183845,20250114142536,,38,5
태용래프팅,강원특별자치도 영월군 영월읍 동강로 871-18,http://tong.visitkorea.or.kr/cms/resource/31/1822131_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/31/1822131_image3_1.jpg,131929,28,,,A03,A0303,A03030800,Type3,128.5119919334,37.2359957950,6,20070417090000,20250113155624,033-374-1444,32,8
강나루래프팅,경상북도 봉화군 명호면 명재로 16,http://tong.visitkorea.or.kr/cms/resource/24/1981524_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/24/1981524_image3_1.jpg,131968,28,,,A03,A0303,A03030800,Type3,128.8899475340,36.8444812610,6,20070601090000,20250113094430,054-674-0567 / 010-9895-0567,35,8
동강 래프팅(정선),강원특별자치도 정선군 정선읍,http://tong.visitkorea.or.kr/cms/resource/14/1822114_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/14/1822114_image3_1.jpg,131778,28,,,A03,A0303,A03030800,Type3,128.6298487995,37.3032764016,6,20040506090000,20241021154034,,32,11
내린천 래프팅,강원특별자치도 인제군 인제읍 내린천로 6211,http://tong.visitkorea.or.kr/cms/resource/11/2384211_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/11/2384211_image3_1.jpg,131776,28,,,A03,A0303,A03030800,Type3,128.2067618712,38.0431160103,6,20040506090000,20240913152159,,32,10
동강 래프팅(평창),강원특별자치도 평창군 미탄면 마하리,http://tong.visitkorea.or.kr/cms/resource/70/3000170_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/70/3000170_image3_1.jpg,2605318,28,,,A03,A0303,A03030800,Type1,128.5600611370,37.2858854076,6,20190605232623,20240910164009,,32,8
섬진강곡성래프팅,전라남도 곡성군 고달면 두가리720,http://tong.visitkorea.or.kr/cms/resource/12/2789612_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/12/2789612_image2_1.jpg,2787114,28,,,A03,A0303,A03030800,Type3,127.3720708123,35.2356476195,6,20211207183536,20240731135912,,38,3
엄천강 래프팅,경상남도 함양군 휴천면 남호리 763-6,http://tong.visitkorea.or.kr/cms/resource/67/2787467_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/67/2787467_image2_1.jpg,2787135,28,,,A03,A0303,A03030800,Type3,127.7472129216,35.4418864356,6,20211207184107,20240717214920,,36,20
동이사람들(안동래프팅),경상북도 안동시 도산면 퇴계로 3443,http://tong.visitkorea.or.kr/cms/resource/99/1891499_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/99/1891499_image3_1.jpg,524873,28,,,A03,A0303,A03030800,Type3,128.8895608531,36.7707952374,6,20080324233628,20231208160019,054-855-7179,35,11
낙동강래프팅,경상북도 봉화군 명호면 청량로 1136-18,http://tong.visitkorea.or.kr/cms/resource/36/1981536_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/36/1981536_image3_1.jpg,131638,28,,,A03,A0303,A03030800,Type3,128.9031432071,36.8571522852,6,20070907090000,20230802203345,054-672-9991,35,8
도산래프팅,경상북도 안동시 도산면 가송길 133,http://tong.visitkorea.or.kr/cms/resource/39/1981539_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/39/1981539_image3_1.jpg,131973,28,,,A03,A0303,A03030800,Type3,128.8913413968,36.7658375050,6,20070618090000,20230802203031,054-856-7793,35,11
