TITLE,ADDR1,FIRST_IMG,FIRST_IMG2,KEYID,KEYTYPE,BOOKTOUR,ADR2,CAT1,CAT2,CAT3,CPYRIGHT,GPSX,GPSY,MAPLEVEL,CREATED,MODIFIED,TEL,AREA1,AREA2
남해군요트학교,경상남도 남해군 삼동면 동부대로1030번길 42-26,,,1008874,28,,,A03,A0303,A03030300,,128.0528363392,34.7937813616,6,20100427190340,20250404131615,055-867-2977,36,5
한산마리나요트,경상남도 통영시 산양읍 삼칭이해안길 820,,,3058528,12,,,A02,A0202,A02020800,,128.4342722364,34.8051424025,6,20231205112340,20250319192936,,36,17
수영만 요트경기장,부산광역시 해운대구 해운대해변로 84,,,131523,28,,,A03,A0303,A03030300,,129.1405651222,35.1609293352,6,20030526090000,20250311145824,,6,16
차귀도요트,제주특별자치도 제주시 한경면 한경해안로 156,,,1952520,28,,,A03,A0303,A03030300,,126.1660414972,33.3240052693,6,20140927002215,20241211092425,,39,4
김녕요트투어,제주특별자치도 제주시 구좌읍 구좌해안로 229-16,,,1064572,28,,,A03,A0303,A03030300,,126.7371893521,33.5582634073,6,20100724013813,20241127160258,,39,4
팡팡만원요트투어,경상남도 통영시 광도면 죽림해안로 94,,,3075913,12,,,A02,A0202,A02020800,,128.4229711814,34.8827418561,6,20231205111740,20241115162205,,36,17
요트 마리나 (목포),전라남도 목포시 삼학로 88-56 (산정동),,,3056465,28,,,A03,A0303,A03030300,,126.3901909310,34.7838153719,6,20231122112048,20241010203145,,38,8
더베이101요트투어,부산광역시 해운대구 동백로 52 (우동),,,3076754,28,,,A03,A0303,A03030300,,129.1520975710,35.1566216976,6,20231208171223,20240926192126,,6,16
요트탈래,부산광역시 해운대구 동백로 52,,,2825115,28,,,A03,A0303,A03030300,,129.1520975710,35.1566216976,6,20220623145028,20240709162723,,6,16
소노캄 거제 마리나베이 요트투어,경상남도 거제시 일운면 거제대로 2660,,,1968837,28,,,A03,A0303,A03030300,,128.7029617427,34.8434068406,6,20141128202251,20240704145929,,36,1
소호요트마리나 / 소호요트경기장,전라남도 여수시 소호로 392,,,2752499,28,,(소호동),A03,A0303,A03030300,,127.6508812064,34.7388416231,6,20211001204522,20231102135913,,38,13
당항포 요트체험,경상남도 고성군 회화면 당항만로 1116,,,2613128,28,,,A03,A0303,A03030300,,128.3986687125,35.0563858594,6,20190726220828,20230630101632,,36,3
