TITLE,ADDR1,FIRST_IMG,FIRST_IMG2,KEYID,KEYTYPE,BOOKTOUR,ADR2,CAT1,CAT2,CAT3,CPYRIGHT,GPSX,GPSY,MAPLEVEL,CREATED,MODIFIED,TEL,AREA1,AREA2
부산 요트투어 요트야,부산광역시 해운대구 해운대해변로 84 (우동),http://tong.visitkorea.or.kr/cms/resource/37/3065337_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/37/3065337_image3_1.JPG,3065360,28,,,A03,A0303,A03030300,Type3,129.1415539265,35.1608543617,6,20231208174229,20250415092115,,6,16
부산요트투어 더요트,부산광역시 해운대구 해운대해변로 84 (우동),http://tong.visitkorea.or.kr/cms/resource/78/3064978_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/78/3064978_image3_1.JPG,3065005,28,,,A03,A0303,A03030300,Type3,129.1415539265,35.1608543617,6,20231208182543,20250414175453,,6,16
신안 1004요트,전라남도 신안군 암태면 박달로 9,http://tong.visitkorea.or.kr/cms/resource/15/2500715_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/15/2500715_image2_1.jpg,2500717,28,,,A03,A0303,A03030300,Type3,126.1568041445,34.8619194306,6,20170721182935,20250316124110,061-240-8369,38,12
현대요트 인천,인천광역시 중구 을왕동,http://tong.visitkorea.or.kr/cms/resource/94/3022094_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/94/3022094_image3_1.jpg,3022132,28,,980-1,A03,A0303,A03030300,Type3,126.3571113195,37.4577531311,6,20231023102828,20250107163354,032-710-6976,2,10
통영요트학교,경상남도 통영시 도남로 269-28,http://tong.visitkorea.or.kr/cms/resource/75/2369375_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/75/2369375_image2_1.jpg,2657808,28,,,A03,A0303,A03030300,Type3,128.4349604598,34.8282120580,6,20200601202417,20241227152308,055-641-5051,36,17
부산요트투어 고고요트,부산광역시 해운대구 해운대해변로 84,http://tong.visitkorea.or.kr/cms/resource/17/3009017_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/17/3009017_image3_1.jpg,3009050,28,,1번 계류장,A03,A0303,A03030300,Type3,129.1415539265,35.1608543617,6,20230908135518,20241213155731,010-4448-0113,6,16
제이엠그랑블루요트,제주특별자치도 서귀포시 대포로 172-7,http://tong.visitkorea.or.kr/cms/resource/49/2571149_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/49/2571149_image3_1.bmp,2571240,28,0,(대포동),A03,A0303,A03030300,Type3,126.4396057595,33.2382440357,6,20181129232703,20241206173301,,39,3
AB요트,경기도 화성시 서신면 해안길 477,http://tong.visitkorea.or.kr/cms/resource/50/3042750_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/50/3042750_image3_1.jpg,3042765,28,,"제부마리나 D3,D5,D7,D9 선석",A03,A0303,A03030300,Type1,126.6281832360,37.1753239831,6,20231117130631,20241206141711,,31,31
블루요트,전라남도 여수시 오동도로 61-15,http://tong.visitkorea.or.kr/cms/resource/24/3010424_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/24/3010424_image3_1.jpg,3010426,28,,,A03,A0303,A03030300,Type3,127.7506417828,34.7444510540,6,20230912172655,20241127100306,,38,13
여수 아그리나 요트투어,전라남도 여수시 웅천남2로 12,http://tong.visitkorea.or.kr/cms/resource/78/3008278_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/78/3008278_image3_1.jpg,3008290,28,,,A03,A0303,A03030300,Type3,127.6732290839,34.7454523795,6,20230904191042,20241121112007,,38,13
제18회 이순신장군배 국제요트대회,경상남도 통영시 도남로 269-20 (도남동),http://tong.visitkorea.or.kr/cms/resource/80/3400580_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/80/3400580_image3_1.jpg,2624011,15,,,A02,A0208,A02081200,Type3,128.4338633445,34.8277704211,6,20191011024840,20241030175722,055-643-3335,36,17
통영마리나리조트 요트,경상남도 통영시 큰발개1길 33,http://tong.visitkorea.or.kr/cms/resource/41/3040141_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/41/3040141_image3_1.JPG,719521,28,,(도남동),A03,A0303,A03030300,Type3,128.4386490515,34.8272872273,6,20090413202251,20240905135113,055-640-8180,36,17
M1971요트투어,제주특별자치도 서귀포시 대정읍 하모리 646-20,http://tong.visitkorea.or.kr/cms/resource/15/2798915_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/15/2798915_image2_1.jpg,2798942,28,,,A03,A0303,A03030300,Type3,126.2575916100,33.2105747879,6,20211215230416,20240805172459,,39,3
속초코마린요트공원,강원특별자치도 속초시 엑스포로 10-29,http://tong.visitkorea.or.kr/cms/resource/45/2791245_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/45/2791245_image2_1.jpg,2791156,28,,(조양동),A03,A0303,A03030300,Type3,128.5932110693,38.1913839813,6,20211210012627,20240731101819,,32,5
부산요트투어 3355마린,부산광역시 해운대구 해운대해변로 84,http://tong.visitkorea.or.kr/cms/resource/71/2790371_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/71/2790371_image2_1.jpg,2790332,28,,,A03,A0303,A03030300,Type3,129.1419844733,35.1598405944,6,20211209192408,20240717214119,,6,16
오션브리즈요트,경상남도 통영시 산양읍 이운길 101,http://tong.visitkorea.or.kr/cms/resource/35/2787935_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/35/2787935_image2_1.jpg,2782787,28,,,A03,A0303,A03030300,Type3,128.4340862925,34.7993819314,6,20211129223840,20240717212226,,36,17
요트&수산어촌체험(양양),강원특별자치도 양양군 손양면 수산1길 20-16,http://tong.visitkorea.or.kr/cms/resource/55/2745155_image2_1.jpeg,http://tong.visitkorea.or.kr/cms/resource/55/2745155_image3_1.jpeg,2710813,28,,,A03,A0303,A03030300,Type3,128.6744905920,38.0771544019,6,20210324192027,20240709094803,033-673-3677,32,7
왕산요트경기장,인천광역시 중구 왕산마리나길 143,http://tong.visitkorea.or.kr/cms/resource/20/2791320_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/20/2791320_image2_1.JPG,2769484,28,,(을왕동),A03,A0303,A03030300,Type3,126.3578140337,37.4577559204,6,20211108184329,20240612174741,,2,10
현대요트 서울지점,서울특별시 서초구 동작대로 350 (반포동),http://tong.visitkorea.or.kr/cms/resource/72/3071572_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/72/3071572_image3_1.jpg,3071613,28,,,A03,A0303,A03030300,Type1,126.9811002794,37.5058141254,6,20231204150132,20240320103950,,1,15
