TITLE,ADDR1,FIRST_IMG,FIRST_IMG2,KEYID,KEYTYPE,BOOKTOUR,ADR2,CAT1,CAT2,CAT3,CPYRIGHT,GPSX,GPSY,MAPLEVEL,CREATED,MODIFIED,TEL,AREA1,AREA2
월정투명카약,제주특별자치도 제주시 구좌읍 월정리,http://tong.visitkorea.or.kr/cms/resource/98/3065098_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/98/3065098_image3_1.jpg,3065136,28,,1400-33,A03,A0303,A03030200,Type3,126.7787661696,33.5638079082,6,20231211110224,20250421101732,,39,4
청아투명카약,제주특별자치도 제주시 애월읍 애월로 11,http://tong.visitkorea.or.kr/cms/resource/43/3037943_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/43/3037943_image3_1.jpg,3037977,28,,한담공원,A03,A0303,A03030200,Type3,126.3112758307,33.4600591587,6,20231113152352,20250414174408,,39,4
엄천강 카누카약,경상남도 함양군 휴천면 천왕봉로 2257,http://tong.visitkorea.or.kr/cms/resource/89/2787289_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/89/2787289_image3_1.jpg,2786810,28,,,A03,A0303,A03030200,Type3,127.7471768135,35.4418808799,6,20211207004118,20250121125918,,36,20
귀덕바다투명카약,제주특별자치도 제주시 한림읍 귀덕9길 4,http://tong.visitkorea.or.kr/cms/resource/29/3066929_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/29/3066929_image3_1.jpg,3066943,28,,,A03,A0303,A03030200,Type3,126.2911918418,33.4433301386,6,20231212160806,20241211112218,,39,4
제주카약올레,제주특별자치도 제주시 애월읍 애월로1길 22,http://tong.visitkorea.or.kr/cms/resource/33/2740633_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/33/2740633_image2_1.jpg,2738709,28,,,A03,A0303,A03030200,Type3,126.3104869587,33.4623616693,6,20210901195437,20241211095909,,39,4
임진강 주상절리 카약,경기도 연천군 마동로196번길 226-28,http://tong.visitkorea.or.kr/cms/resource/83/2966383_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/83/2966383_image3_1.JPG,2966393,28,,,A03,A0303,A03030200,Type3,127.0139714978,38.0183550201,6,20230412174458,20241202111936,,31,21
드림카약투어,경상남도 남해군 미조면 미송로303번길 48-1,http://tong.visitkorea.or.kr/cms/resource/49/2787749_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/49/2787749_image2_1.jpg,2782810,28,,,A03,A0303,A03030200,Type3,128.0261964403,34.7075572062,6,20211129225259,20240731131352,,36,5
월정 투명카약,제주특별자치도 제주시 구좌읍 월정리 1400-33,http://tong.visitkorea.or.kr/cms/resource/87/2498687_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/87/2498687_image3_1.jpg,2498717,28,,,A03,A0303,A03030200,Type3,126.7786717322,33.5638551242,6,20170704184905,20240725101322,,39,4
남해카약체험센터,경상남도 남해군 남면 남면로1229번길 10-34,http://tong.visitkorea.or.kr/cms/resource/31/2787731_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/31/2787731_image2_1.jpg,2782839,28,,,A03,A0303,A03030200,Type3,127.8610793434,34.7448168207,6,20211129230938,20240722142021,,36,5
정서진 아라뱃길 카약축제,인천광역시 서구 정서진1로 41,http://tong.visitkorea.or.kr/cms/resource/96/3305096_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/96/3305096_image3_1.jpg,2597631,15,,아라인천여객터미널 일원,A02,A0207,A02070200,Type3,126.6074773243,37.5584902454,6,20190418021746,20240607151255,1899-3650,2,7
