TITLE,ADDR1,FIRST_IMG,FIRST_IMG2,KEYID,KEYTYPE,BOOKTOUR,ADR2,CAT1,CAT2,CAT3,CPYRIGHT,GPSX,GPSY,MAPLEVEL,CREATED,MODIFIED,TEL,AREA1,AREA2
자월도 장골해변,인천광역시 옹진군 자월면 자월서로,,,125499,12,0,,A01,A0101,A01011200,,126.3129737764,37.2503820151,6,20031208090000,20250327170536,,2,9
소야도 떼뿌리 해변,인천광역시 옹진군 덕적면,,,2664752,12,0,,A01,A0101,A01011200,,126.1759428450,37.2126756954,6,20200723191159,20250327162150,,2,9
비인해변,충청남도 서천군 비인면 갯벌체험로 492-24,,,2746185,12,0,,A01,A0101,A01011200,,126.5822873467,36.1335403567,6,20210916195707,20250327100651,,34,8
갈목해변,충청남도 서천군 마서면 송석리,,,2750364,12,0,,A01,A0101,A01011200,,126.6359117813,36.0770449561,6,20210928183951,20250324173938,,34,8
노을길 (태안해변길5코스),충청남도 태안군 안면읍 해안관광로 409,,,2783143,12,0,,A01,A0101,A01010500,,126.3317826911,36.5381396555,6,20211130011654,20250321112000,,34,14
세기알해변,제주특별자치도 제주시 구좌읍 김녕리,,,3097814,12,,1200-5,A01,A0101,A01011200,,126.7563127037,33.5577304412,6,20240207165356,20250320093118,,39,4
두모몽돌해변,경상남도 거제시 장목면 율천두모로 154-41,,,2758131,12,0,,A01,A0101,A01011200,,128.6948115576,34.9811718456,6,20211018223112,20250319184011,,36,1
진해루해변공원,경상남도 창원시 진해구 진희로 142,,,2784667,12,0,(경화동),A02,A0202,A02020700,,128.6842857943,35.1472169428,6,20211201222513,20250318214617,,36,16
와온해변,전라남도 순천시 해룡면 상내리,,,2707924,12,0,,A01,A0101,A01011200,,127.5237228778,34.8493798154,6,20210303221729,20250318205945,,38,11
주문진해변,강원특별자치도 강릉시 주문진읍 주문북로 210,,,125699,12,0,(주문진읍),A01,A0101,A01011200,,128.8188493785,37.9106348733,6,20040227090000,20250318191358,,32,1
삼포해변,강원특별자치도 고성군 죽왕면 삼포해변길 15-4,,,127587,12,0,,A01,A0101,A01011200,,128.5354263465,38.3149490205,6,20030710090000,20250317213012,,32,2
청라해변공원캠핑장,인천광역시 서구 첨단서로 190,,,2908090,28,,,A03,A0302,A03021700,,126.6155549079,37.5389815470,6,20221115110856,20250317174144,,2,7
삼척해변,강원특별자치도 삼척시 테마타운길 76,,,125705,12,1,(갈천동),A01,A0101,A01011200,,129.1683621836,37.4684816769,6,20060406090000,20250317144837,,32,4
정동진해변,강원특별자치도 강릉시 강동면 정동역길 17,,,128757,12,0,(강동면),A01,A0101,A01011200,,129.0326591356,37.6914477475,6,20060124090000,20250317143758,,32,1
안도해변,전라남도 여수시 남면 안도해수욕장길 105,,,126280,12,0,,A01,A0101,A01011200,,127.8125372529,34.4905110672,6,20031222090000,20250317143600,,38,13
봉포해변,강원특별자치도 고성군 토성면,,,125692,12,0,봉포리,A01,A0101,A01011200,,128.5661727275,38.2524985617,6,20030710090000,20250317131732,,32,2
아야진해변,강원특별자치도 고성군 토성면 아야진해변길 157,,,125684,12,0,(토성면),A01,A0101,A01011200,,128.5527870800,38.2765788296,6,20030710090000,20250317125429,,32,2
무슬목해변,전라남도 여수시 돌산읍 돌산로 2876,,,2777896,12,0,,A01,A0101,A01011200,,127.7759244868,34.6822778957,6,20211123184502,20250316123008,,38,13
나아해변,경상북도 경주시 양남면 나아4길 17-1,,,2756648,12,0,,A01,A0101,A01011200,,129.4692239131,35.7088850915,6,20211013233225,20250314142441,,35,2
동호해변(양양),강원특별자치도 양양군 손양면 동호리 141-26,,,125716,12,0,,A01,A0101,A01011200,,128.6831348679,38.0573985323,6,20031204090000,20250313173559,,32,7
감추해변,강원특별자치도 동해시 해안로 120,,,2714641,12,0,(용정동),A01,A0101,A01011200,,129.1267839259,37.5147838622,6,20210427195029,20250313142825,,32,3
