콘텐츠제목,주소,대표이미지(원본),대표이미지(썸네일),콘텐츠ID,콘텐츠타입ID,교과서속여행지,상세주소,대분류,중분류,소분류,저작권유형,GPSX좌표,GPSY좌표 ,MAP레벨,등록일,수정일,전화번호,지역코드,시군구코드
율포해수욕장(솔밭해변),전라남도 보성군 회천면 우암길 24,http://tong.visitkorea.or.kr/cms/resource/29/3370529_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/29/3370529_image3_1.JPG,2022601,12,0,,A01,A0101,A01011200,Type3,127.0881211428,34.6696814499,6,20150805192206,20250316213434,,38,10
가사해수욕장,전라남도 완도군 약산면,http://tong.visitkorea.or.kr/cms/resource/24/3382824_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/24/3382824_image3_1.JPG,1916695,12,0,,A01,A0101,A01011200,Type3,126.9281702396,34.3704872810,6,20140428232048,20250316204257,,38,18
덕포해수욕장,경상남도 거제시 덕포5길 32-4,http://tong.visitkorea.or.kr/cms/resource/43/3372343_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/43/3372343_image3_1.JPG,127939,12,0,,A01,A0101,A01011200,Type3,128.7104315142,34.9110910787,6,20031029090000,20250316200430,,36,1
옥계해수욕장,경상남도 거제시 하청면 연구리 416,http://tong.visitkorea.or.kr/cms/resource/58/3372158_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/58/3372158_image3_1.JPG,2723629,12,0,,A01,A0101,A01011200,Type3,128.6308866457,34.9782876787,6,20210628224017,20250316200322,,36,1
사곡해수욕장,경상남도 거제시 사등면 사곡리 757-1,http://tong.visitkorea.or.kr/cms/resource/41/3372141_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/41/3372141_image3_1.JPG,2723610,12,0,,A01,A0101,A01011200,Type3,128.5721855360,34.8988649512,6,20210628201732,20250316200319,,36,1
돌머리해수욕장,전라남도 함평군 함평읍 주포로 614,http://tong.visitkorea.or.kr/cms/resource/55/3381355_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/55/3381355_image3_1.JPG,126291,12,0,(함평읍),A01,A0101,A01011200,Type3,126.4419067904,35.0865542912,6,20031209090000,20250316163102,,38,22
모상개해수욕장,경상남도 남해군 창선면 진동리,http://tong.visitkorea.or.kr/cms/resource/54/3373754_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/54/3373754_image3_1.JPG,129493,12,0,,A01,A0101,A01011200,Type3,128.0756553901,34.8393655486,6,20070327090000,20250316160145,,36,5
남일대해수욕장,경상남도 사천시 모례2길 11-19 (향촌동),http://tong.visitkorea.or.kr/cms/resource/62/3374262_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/62/3374262_image3_1.JPG,126564,12,0,,A01,A0101,A01011200,Type3,128.0980483541,34.9279921255,6,20030704090000,20250316155817,,36,8
만리포해수욕장,충청남도 태안군 소원면 만리포2길 138,http://tong.visitkorea.or.kr/cms/resource/35/2653435_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/35/2653435_image3_1.jpg,125842,12,0,,A01,A0101,A01011200,Type3,126.1422683553,36.7858023228,6,20031205090000,20250313164745,,34,14
기지포해수욕장,충청남도 태안군 안면읍 해안관광로 745-19,http://tong.visitkorea.or.kr/cms/resource/06/2716306_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/06/2716306_image3_1.jpg,128903,12,0,,A01,A0101,A01011200,Type3,126.3223634527,36.5627783257,6,20060406090000,20250313132909,,34,14
모항해수욕장,전북특별자치도 부안군 변산면 모항길 22,http://tong.visitkorea.or.kr/cms/resource/20/3375120_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/20/3375120_image3_1.JPG,127689,12,0,,A01,A0101,A01011200,Type3,126.5077441836,35.5828602400,6,20030701090000,20250312093301,,37,6
천하몽돌해수욕장,경상남도 남해군 미조면 송정리 1379,http://tong.visitkorea.or.kr/cms/resource/34/2755234_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/34/2755234_image3_1.jpg,2755214,12,0,,A01,A0101,A01011200,Type3,128.0132526930,34.7243467683,6,20211008223526,20250311142534,,36,5
송정해수욕장,부산광역시 해운대구 송정해변로 62,http://tong.visitkorea.or.kr/cms/resource/02/3314902_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/02/3314902_image3_1.jpg,126080,12,0,(송정동),A01,A0101,A01011200,Type1,129.1996400523,35.1787117732,6,20030723090000,20250311111818,,6,16
광안리해수욕장,부산광역시 수영구 광안해변로 219 (광안동),http://tong.visitkorea.or.kr/cms/resource/45/3311245_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/45/3311245_image3_1.jpg,126078,12,0,,A01,A0101,A01011200,Type1,129.1185477876,35.1538130576,6,20030826090000,20250307091952,,6,12
다대포해수욕장,부산광역시 사하구 몰운대1길 14,http://tong.visitkorea.or.kr/cms/resource/59/2945259_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/59/2945259_image3_1.jpg,126079,12,0,,A01,A0101,A01011200,Type1,128.9680332493,35.0464195263,6,20031215090000,20250306162359,,6,10
사천진해변(사천뒷불해수욕장),강원특별자치도 강릉시 사천면 진리해변길 111,http://tong.visitkorea.or.kr/cms/resource/11/3341411_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/11/3341411_image3_1.jpg,585526,12,0,,A01,A0101,A01011200,Type3,128.8753492114,37.8412245725,6,20080711010446,20250306103554,,32,1
몽돌해수욕장 (몽돌해변),전북특별자치도 군산시 옥도면 선유도1길 238-7,http://tong.visitkorea.or.kr/cms/resource/41/3362741_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/41/3362741_image3_1.JPG,2759671,12,0,,A01,A0101,A01011200,Type3,126.4022890673,35.8284888289,6,20211020193841,20250305101811,,37,2
남항진해변(남항진해수욕장),강원특별자치도 강릉시 공항길127번길 67 (남항진동),http://tong.visitkorea.or.kr/cms/resource/38/3341438_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/38/3341438_image3_1.jpg,125691,12,0,,A01,A0101,A01011200,Type3,128.9543444876,37.7640239384,6,20040227090000,20250304164856,,32,1
낙산해수욕장,강원특별자치도 양양군 강현면 해맞이길 59,http://tong.visitkorea.or.kr/cms/resource/31/2745231_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/31/2745231_image3_1.jpg,125702,12,0,,A01,A0101,A01011200,Type3,128.6336291424,38.1177544435,6,20030909090000,20250122161630,,32,7
몽돌해수욕장(옹진군),인천광역시 옹진군 영흥면 내리 1212-28,http://tong.visitkorea.or.kr/cms/resource/48/2791248_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/48/2791248_image3_1.JPG,2768103,12,0,,A01,A0101,A01011200,Type3,126.4675615457,37.2841335604,6,20211104191522,20250117170434,,2,9
만리포해수욕장전망대,충청남도 태안군 소원면 가락골길 14-10,http://tong.visitkorea.or.kr/cms/resource/15/3459315_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/15/3459315_image3_1.jpg,3459331,12,,,A02,A0205,A02050600,Type1,126.1408296607,36.7833692454,6,20241224140435,20241227091844,,34,14
