콘텐츠제목,콘텐츠ID,콘텐츠타입ID
가마미해수욕장,126289,12
삼양해수욕장,129401,12
설악해수욕장,2710820,12
사근진해변(사근진해수욕장),128727,12
금능해수욕장,591866,12
작은후진해수욕장,125719,12
화진포해수욕장,2724982,12
궁촌해변(궁촌해수욕장),126649,12
강릉 경포해수욕장,128758,12
정암해수욕장,2702823,12
송정해변(송정해수욕장),125694,12
죽도해수욕장,125720,12
하조대해수욕장,125701,12
속초해수욕장,125707,12
표선해수욕장,128794,12
화순금모래해수욕장,126443,12
유동해변(유동해수욕장),2782847,12
신양섭지해수욕장,126447,12
거문도해수욕장,2723663,12
해운대해수욕장,126081,12
왜목마을 해수욕장,2022541,12
항도몽돌해수욕장과 항도방파제,129491,12
연소해수욕장,2723813,12
중리해수욕장,126304,12
자은 백길해수욕장,126696,12
구봉솔숲해수욕장,2761552,12
사창해수욕장,2750952,12
먼동해수욕장,2758238,12
난지섬해수욕장,125849,12
당너머해수욕장,2768080,12
금곡해수욕장,1916699,12
증도 우전해수욕장,126276,12
원산도해수욕장,2750957,12
부산 송도해수욕장,126122,12
남성리해수욕장,2782702,12
하트해변(하누넘해수욕장),2723767,12
나사해변(나사리해수욕장),2777937,12
사목해수욕장,1532423,12
제주신흥해수욕장,2789378,12
백사장해수욕장,128902,12
남열해돋이해수욕장,127546,12
설리해수욕장,129487,12
함덕 서우봉 해변 (함덕해수욕장),126451,12
보령 해수욕장 관광특구,1957654,12
대전해수욕장,127883,12
장삼포해수욕장,128922,12
동고리해수욕장,2723525,12
두여해수욕장,128893,12
방포해수욕장,125843,12
삼봉해수욕장,125846,12
어은돌해수욕장,128894,12
마검포해수욕장,128904,12
용동해수욕장,2723815,12
갈음이해수욕장,127311,12
학암포해수욕장,127917,12
중광정해수욕장,2710821,12
장봉도 한들해수욕장,129251,12
월천해수욕장,2714805,12
월정리해변(월정리해수욕장),1918639,12
꽃지해수욕장,126695,12
김녕성세기해변 (김녕해수욕장),129400,12
사촌해수욕장,127779,12
꾸지나무골해수욕장,1532338,12
"두곡, 월포해수욕장",126682,12
동산해수욕장,2710838,12
천리포해수욕장,125847,12
음포해수욕장,2753660,12
선유도해수욕장 (명사십리 해수욕장),2022531,12
동호해수욕장,126286,12
기성망양해수욕장,2753950,12
장돌해수욕장,128899,12
을왕리해수욕장,128767,12
연포해수욕장,127591,12
몽산포해수욕장,125845,12
덕원해수욕장,2723634,12
대광해수욕장,126271,12
율포해수욕장(솔밭해변),2022601,12
가사해수욕장,1916695,12
덕포해수욕장,127939,12
옥계해수욕장,2723629,12
사곡해수욕장,2723610,12
돌머리해수욕장,126291,12
모상개해수욕장,129493,12
남일대해수욕장,126564,12
만리포해수욕장,125842,12
기지포해수욕장,128903,12
모항해수욕장,127689,12
천하몽돌해수욕장,2755214,12
송정해수욕장,126080,12
광안리해수욕장,126078,12
다대포해수욕장,126079,12
사천진해변(사천뒷불해수욕장),585526,12
몽돌해수욕장 (몽돌해변),2759671,12
남항진해변(남항진해수욕장),125691,12
낙산해수욕장,125702,12
몽돌해수욕장(옹진군),2768103,12
만리포해수욕장전망대,3459331,12
변산해수욕장,126287,12
원평해수욕장,2723745,12
사천해변(사천해수욕장),125696,12
애견전용해수욕장 멍비치,2388953,12
춘장대해수욕장,126742,12
명사해수욕장,126577,12
통개 해수욕장,3034356,12
소돌해수욕장,2775500,12
물건해수욕장,3026168,12
진하해수욕장,126096,12
표선해수욕장 야영장,3031517,28
방아머리해수욕장,2783069,12
삼정해수욕장,129160,12
영리해수욕장,2756138,12
대진해수욕장(918번 해안도로),131078,28
협재해수욕장,127490,12
장안해수욕장,129638,12
흥환간이해수욕장,129183,12
덕천해수욕장,129011,12
흥남해수욕장,126086,12
