TITLE,ADDR1,FIRST_IMG,FIRST_IMG2,KEYID,KEYTYPE,BOOKTOUR,ADR2,CAT1,CAT2,CAT3,CPYRIGHT,GPSX,GPSY,MAPLEVEL,CREATED,MODIFIED,TEL,AREA1,AREA2
영진해변,강원특별자치도 강릉시 연곡면 영진리,http://tong.visitkorea.or.kr/cms/resource/10/3422710_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/10/3422710_image3_1.png,128728,12,0,357-155,A01,A0101,A01011200,Type1,128.8449260774,37.8695540310,6,20060102090000,20250415111354,,32,1
사근진해변(사근진해수욕장),강원특별자치도 강릉시 해안로604번길 16,http://tong.visitkorea.or.kr/cms/resource/59/2921959_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/59/2921959_image3_1.jpg,128727,12,0,,A01,A0101,A01011200,Type3,128.8988285332,37.8127616594,6,20060102090000,20250415110640,033-640-4925,32,1
금능돌담해변길,제주특별자치도 제주시 한림읍 금능9길 24,http://tong.visitkorea.or.kr/cms/resource/81/3037781_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/81/3037781_image3_1.jpg,3037793,12,,,A01,A0101,A01010500,Type3,126.2290650973,33.3903433609,6,20231113141412,20250414173339,,39,4
표선소금막해변,제주특별자치도 서귀포시 표선면 표선동서로 378-18,http://tong.visitkorea.or.kr/cms/resource/26/3026726_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/26/3026726_image3_1.jpg,3026734,12,,,A01,A0101,A01011200,Type3,126.8415326632,33.3340093146,6,20230920154958,20250414164546,,39,3
안목해변,강원특별자치도 강릉시 창해로14번길 20-1,http://tong.visitkorea.or.kr/cms/resource/78/2370378_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/78/2370378_image3_1.jpg,127722,12,0,,A01,A0101,A01011200,Type3,128.9473504054,37.7726505813,6,20040227090000,20250414112315,,32,1
궁촌해변(궁촌해수욕장),강원특별자치도 삼척시 근덕면 궁촌해변길 65,http://tong.visitkorea.or.kr/cms/resource/48/3040348_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/48/3040348_image3_1.jpg,126649,12,0,,A01,A0101,A01011200,Type3,129.2671938924,37.3243001987,6,20060324090000,20250414111927,,32,4
옥계해변,강원특별자치도 강릉시 옥계면 금진솔밭길 104-32,http://tong.visitkorea.or.kr/cms/resource/82/3025182_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/82/3025182_image3_1.jpg,128176,12,0,,A01,A0101,A01011200,Type3,129.0480708236,37.6280637014,6,20040701090000,20250411094035,,32,1
설악해변,강원특별자치도 양양군 강현면 하복리,http://tong.visitkorea.or.kr/cms/resource/74/3045774_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/74/3045774_image3_1.jpg,125703,12,0,,A01,A0101,A01011200,Type3,128.6231630354,38.1302666737,6,20031226090000,20250410165209,,32,7
강문해변,강원특별자치도 강릉시 창해로 352,http://tong.visitkorea.or.kr/cms/resource/85/2921985_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/85/2921985_image3_1.jpg,585522,12,0,,A01,A0101,A01011200,Type3,128.9190439335,37.7948530151,6,20080711004826,20250410104758,,32,1
추암해변,강원특별자치도 동해시 촛대바위길 26,http://tong.visitkorea.or.kr/cms/resource/74/2741874_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/74/2741874_image3_1.jpg,127713,12,0,,A01,A0101,A01011200,Type3,129.1602375728,37.4794635856,6,20031014090000,20250410093813,,32,3
