TITLE,ADDR1,FIRST_IMG,FIRST_IMG2,KEYID,KEYTYPE,BOOKTOUR,ADR2,CAT1,CAT2,CAT3,CPYRIGHT,GPSX,GPSY,MAPLEVEL,CREATED,MODIFIED,TEL,AREA1,AREA2
가마미해수욕장,전라남도 영광군 홍농읍 가마미로 355,http://tong.visitkorea.or.kr/cms/resource/63/3018763_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/63/3018763_image3_1.jpg,126289,12,0,,A01,A0101,A01011200,Type3,126.4090769892,35.3997293920,6,20030707090000,20250418105917,,38,16
삼양해수욕장,제주특별자치도 제주시 삼양이동,http://tong.visitkorea.or.kr/cms/resource/20/3039520_image2_1.jpeg,http://tong.visitkorea.or.kr/cms/resource/20/3039520_image3_1.jpeg,129401,12,0,,A01,A0101,A01011200,Type3,126.5852560795,33.5255284819,6,20061122090000,20250417094143,,39,4
설악해수욕장,강원특별자치도 양양군 강현면 뒷나루2길,http://tong.visitkorea.or.kr/cms/resource/22/2745222_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/22/2745222_image3_1.jpg,2710820,12,0,,A01,A0101,A01011200,Type3,128.6227575205,38.1301333481,6,20210324195706,20250415134259,,32,7
사근진해변(사근진해수욕장),강원특별자치도 강릉시 해안로604번길 16,http://tong.visitkorea.or.kr/cms/resource/59/2921959_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/59/2921959_image3_1.jpg,128727,12,0,,A01,A0101,A01011200,Type3,128.8988285332,37.8127616594,6,20060102090000,20250415110640,033-640-4925,32,1
금능해수욕장,제주특별자치도 제주시 한림읍 금능길 119-10,http://tong.visitkorea.or.kr/cms/resource/55/2877155_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/55/2877155_image3_1.jpg,591866,12,0,,A01,A0101,A01011200,Type3,126.2360339355,33.3903434702,6,20080723015000,20250415102406,,39,4
작은후진해수욕장,강원특별자치도 삼척시 새천년도로 467,http://tong.visitkorea.or.kr/cms/resource/26/2716526_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/26/2716526_image3_1.jpg,125719,12,0,(교동),A01,A0101,A01011200,Type3,129.1758977619,37.4638879088,6,20030714090000,20250415094741,,32,4
화진포해수욕장,강원특별자치도 고성군 현내면 화진포길 386,http://tong.visitkorea.or.kr/cms/resource/97/3006797_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/97/3006797_image3_1.jpg,2724982,12,0,,A01,A0101,A01011200,Type3,128.4361968025,38.4822636746,6,20210708230121,20250415091445,,32,2
궁촌해변(궁촌해수욕장),강원특별자치도 삼척시 근덕면 궁촌해변길 65,http://tong.visitkorea.or.kr/cms/resource/48/3040348_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/48/3040348_image3_1.jpg,126649,12,0,,A01,A0101,A01011200,Type3,129.2671938924,37.3243001987,6,20060324090000,20250414111927,,32,4
강릉 경포해수욕장,강원특별자치도 강릉시 창해로 514,http://tong.visitkorea.or.kr/cms/resource/22/2671422_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/22/2671422_image3_1.jpg,128758,12,0,(안현동),A01,A0101,A01011200,Type3,128.9074446419,37.8057293080,6,20060124090000,20250410171203,,32,1
정암해수욕장,강원특별자치도 양양군 강현면 정암리,http://tong.visitkorea.or.kr/cms/resource/18/2745218_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/18/2745218_image3_1.jpg,2702823,12,0,,A01,A0101,A01011200,Type3,128.6158245382,38.1390571755,6,20210106201335,20250410100952,,32,7
