1,안양천 물놀이장,서울특별시 양천구 신정동,Failed to parse: 서울특별시 양천구 신정동
2,동천 야외물놀이장,울산광역시 중구 남외동 964,Failed to parse: 울산광역시 중구 남외동 964
3,대구 신천물놀이장,대구광역시 남구 신천서쪽자전거길 237 (이천동),Failed to parse: 대구광역시 남구 신천서쪽자전거길 237 (이천동)
4,도농한강공원물놀이장,경기도 남양주시 다산동,Failed to parse: 경기도 남양주시 다산동
5,난지한강공원물놀이장,서울특별시 마포구 한강난지로 162 (상암동),Failed to parse: 서울특별시 마포구 한강난지로 162 (상암동)
6,서서울호수공원물놀이장,서울특별시 양천구 남부순환로64길 26 (신월동),Failed to parse: 서울특별시 양천구 남부순환로64길 26 (신월동)
7,우천숲물놀이장,경상남도 사천시 사남면 우천리,Failed to parse: 경상남도 사천시 사남면 우천리
8,태평동물놀이장,경기도 성남시 수정구 태평동,Failed to parse: 경기도 성남시 수정구 태평동
9,한강시민공원삼패지구물놀이장,경기도 남양주시 삼패동,Failed to parse: 경기도 남양주시 삼패동
10,오산시청물놀이장,경기도 오산시 성호대로 141 (오산동),Failed to parse: 경기도 오산시 성호대로 141 (오산동)
11,천동 물놀이장,충청북도 단양군 단양읍 다리안로 534,Failed to parse: 충청북도 단양군 단양읍 다리안로 534
12,광명안양천물놀이장,경기도 광명시 철산동,Failed to parse: 경기도 광명시 철산동
13,함평엑스포공원 물놀이장,전라남도 함평군 함평읍 곤재로 27,Failed to parse: 전라남도 함평군 함평읍 곤재로 27
