콘텐츠제목,콘텐츠ID,이미지이름,이미지주소,저작권,썸네일이미지주소
,1095732,서울빛초롱축제 1,,Type3,http://tong.visitkorea.or.kr/cms/resource/68/3035568_image3_1.jpg
,1095732,서울빛초롱축제 2,,Type3,http://tong.visitkorea.or.kr/cms/resource/69/3035569_image3_1.jpg
,1095732,서울빛초롱축제 3,,Type3,http://tong.visitkorea.or.kr/cms/resource/81/3037181_image3_1.png
,1095732,서울빛초롱축제 4,,Type3,http://tong.visitkorea.or.kr/cms/resource/82/3037182_image3_1.png
,1095732,서울빛초롱축제 5,,Type3,http://tong.visitkorea.or.kr/cms/resource/83/3037183_image3_1.png
,1095732,서울빛초롱축제 6,,Type3,http://tong.visitkorea.or.kr/cms/resource/84/3037184_image3_1.png
,1095732,서울빛초롱축제 8,,Type3,http://tong.visitkorea.or.kr/cms/resource/86/3037186_image3_1.png
,1095732,서울빛초롱축제 9,,Type3,http://tong.visitkorea.or.kr/cms/resource/88/3037188_image3_1.png
,1095732,2024 서울 빛초롱 축제 포스터,,Type3,http://tong.visitkorea.or.kr/cms/resource/39/3468239_image3_1.png
,1095732,서울빛초롱축제 11,,Type3,http://tong.visitkorea.or.kr/cms/resource/87/3037187_image3_1.png
,1095732,서울빛초롱축제 10,,Type3,http://tong.visitkorea.or.kr/cms/resource/89/3037189_image3_1.png
,1095732,2024 서울 빛초롱 축제 1,,Type3,http://tong.visitkorea.or.kr/cms/resource/45/3405545_image3_1.jpg
