제목,이미지URL,촬영장소,사진작가,검색키워드,콘텐츠ID,콘텐츠타입ID,등록일시,수정일시
하조대해수욕장,http://tong.visitkorea.or.kr/cms2/website/42/1544942.jpg,강원도 양양,한국관광공사 김지호,"하조대해수욕장, 해변, 모래성",1544942,17,20120127154443,20150717094347
하조대해수욕장,http://tong.visitkorea.or.kr/cms2/website/44/1544944.jpg,강원도 양양,한국관광공사 김지호,"하조대해수욕장, 해변, 모래성",1544944,17,20120127154829,20150717094404
하조대해수욕장,http://tong.visitkorea.or.kr/cms2/website/57/1544957.jpg,강원도 양양,한국관광공사 김지호,"하조대해수욕장, 해변, 몰놀이, 피서, 바나나보트, 여름",1544957,17,20120127160226,20150717094533
하조대해수욕장,http://tong.visitkorea.or.kr/cms2/website/59/1544959.jpg,강원도 양양,한국관광공사 김지호,"하조대해수욕장, 해변, 몰놀이, 피서, 바나나보트, 여름",1544959,17,20120127160433,20150717094516
하조대해수욕장,http://tong.visitkorea.or.kr/cms2/website/63/1544963.jpg,강원도 양양,한국관광공사 김지호,"하조대해수욕장, 해변, 몰놀이, 피서, 고무보트, 여름",1544963,17,20120127161402,20150717095025
하조대해수욕장,http://tong.visitkorea.or.kr/cms2/website/79/1544979.jpg,강원도 양양,한국관광공사 김지호,"하조대해수욕장, 해변, 모래사장, 피서, 텐트, 캠핑, 여름",1544979,17,20120127163010,20150717094839
하조대해수욕장,http://tong.visitkorea.or.kr/cms2/website/90/1544990.jpg,강원도 양양,한국관광공사 김지호,"하조대해수욕장, 해변, 모래사장, 피서, 텐트, 캠핑, 여름",1544990,17,20120127163138,20150717095515
하조대해수욕장,http://tong.visitkorea.or.kr/cms2/website/97/1544997.jpg,강원도 양양,한국관광공사 김지호,"하조대해수욕장, 해변, 모래사장, 피서, 여름",1544997,17,20120127163827,20150717095724
하조대해수욕장,http://tong.visitkorea.or.kr/cms2/website/05/1545005.jpg,강원도 양양,한국관광공사 김지호,"하조대해수욕장, 해변, 피서, 물놀이, 여름",1545005,17,20120127164723,20151103103848
하조대해수욕장,http://tong.visitkorea.or.kr/cms2/website/07/1545007.jpg,강원도 양양,한국관광공사 김지호,"하조대해수욕장, 해변, 피서, 물놀이, 여름",1545007,17,20120127164908,20150717095957
하조대해수욕장,http://tong.visitkorea.or.kr/cms2/website/57/1842557.jpg,강원도 양양군,한국관광공사 이범수 ,"하조대 해수욕장, 양양, 여름",1842557,17,20130905142004,20141117141947
하조대해수욕장,http://tong.visitkorea.or.kr/cms2/website/59/1842559.jpg,강원도 양양군,한국관광공사 이범수 ,"하조대 해수욕장, 양양, 여름",1842559,17,20130905142257,20141117142001
하조대해수욕장,http://tong.visitkorea.or.kr/cms2/website/60/1842560.jpg,강원도 양양군,한국관광공사 이범수 ,"하조대 해수욕장, 양양, 여름",1842560,17,20130905142259,20141117142021
하조대해수욕장,http://tong.visitkorea.or.kr/cms2/website/62/1842562.jpg,강원도 양양군,한국관광공사 이범수 ,"하조대 해수욕장, 양양, 여름",1842562,17,20130905142351,20141117142156
하조대해수욕장,http://tong.visitkorea.or.kr/cms2/website/67/1842567.jpg,강원도 양양군,한국관광공사 이범수 ,"하조대 해수욕장, 양양, 여름",1842567,17,20130905142513,20141117142950
하조대해수욕장,http://tong.visitkorea.or.kr/cms2/website/68/1842568.jpg,강원도 양양군,한국관광공사 이범수 ,"하조대 해수욕장, 양양, 여름",1842568,17,20130905142531,20141117145049
하조대해수욕장,http://tong.visitkorea.or.kr/cms2/website/69/1842569.jpg,강원도 양양군,한국관광공사 이범수 ,"하조대 해수욕장, 양양",1842569,17,20130905142549,20141117161546
하조대해수욕장,http://tong.visitkorea.or.kr/cms2/website/70/1842570.jpg,강원도 양양군,한국관광공사 이범수 ,"하조대 해수욕장, 양양, 여름",1842570,17,20130905142647,20141117161526
하조대해수욕장,http://tong.visitkorea.or.kr/cms2/website/19/1964619.jpg,강원도 양양군,한국관광공사 김지호,"하조대해수욕장, 하조대, 해수욕장, 바다, 강원도양양군, 강원도 양양군",1964619,17,20141112101734,20141112102302
하조대해수욕장,http://tong.visitkorea.or.kr/cms2/website/20/1964620.jpg,강원도 양양군,한국관광공사 김지호,"하조대해수욕장, 하조대, 해수욕장, 바다, 강원도양양군, 강원도 양양군",1964620,17,20141112102928,20141112103002
하조대해수욕장,http://tong.visitkorea.or.kr/cms2/website/21/1964621.jpg,강원도 양양군,한국관광공사 김지호,"하조대해수욕장, 하조대, 해수욕장, 바다, 강원도양양군, 강원도 양양군",1964621,17,20141112103018,20141112103042
