콘텐츠제목,주소,대표이미지(원본),대표이미지(썸네일),콘텐츠ID,콘텐츠타입ID,교과서속여행지,상세주소,대분류,중분류,소분류,저작권유형,GPSX좌표,GPSY좌표 ,MAP레벨,등록일,수정일,전화번호,지역코드,시군구코드
안양천 물놀이장,서울특별시 양천구 신정동,http://tong.visitkorea.or.kr/cms/resource/66/2591866_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/66/2591866_image2_1.bmp,2591870,28,,,A03,A0303,A03030700,Type3,126.8730129074,37.5056538784,6,20190314003651,20250331163107,,1,7
동천 야외물놀이장,울산광역시 중구 남외동 964,,,2502579,28,,(남외동),A03,A0303,A03030700,,129.3394835214,35.5737339542,6,20170808190118,20250313152307,,7,1
대구 신천물놀이장,대구광역시 남구 신천서쪽자전거길 237 (이천동),,,2993587,12,,,A02,A0203,A02030400,,128.6075537114,35.8542719889,6,20230712175526,20250107145725,053-476-9912,4,8
도농한강공원물놀이장,경기도 남양주시 다산동,http://tong.visitkorea.or.kr/cms/resource/93/3002193_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/93/3002193_image3_1.JPG,3012120,28,,,A03,A0303,A03030700,Type3,127.1489153797,37.6096523057,6,20230919100147,20241129140510,,31,9
난지한강공원물놀이장,서울특별시 마포구 한강난지로 162 (상암동),,,3057076,28,,난지 한강공원 물놀이장,A03,A0303,A03030700,,126.8851546298,37.5630252055,6,20231204133801,20241129112039,,1,13
서서울호수공원물놀이장,서울특별시 양천구 남부순환로64길 26 (신월동),http://tong.visitkorea.or.kr/cms/resource/61/3054261_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/61/3054261_image3_1.jpg,3060933,28,,신월야구장,A03,A0303,A03030700,Type3,126.8327243255,37.5265729518,6,20231130142219,20241129103956,,1,19
우천숲물놀이장,경상남도 사천시 사남면 우천리,http://tong.visitkorea.or.kr/cms/resource/19/3057819_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/19/3057819_image3_1.JPG,3057863,28,,산186-10,A03,A0303,A03030700,Type3,128.1207214915,35.0297394480,6,20231205094112,20241129102803,,36,8
태평동물놀이장,경기도 성남시 수정구 태평동,http://tong.visitkorea.or.kr/cms/resource/46/3001246_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/46/3001246_image3_1.jpg,3032849,28,,7003-13,A03,A0303,A03030700,Type3,127.1182145279,37.4448514419,6,20231107105144,20241127131026,,31,12
한강시민공원삼패지구물놀이장,경기도 남양주시 삼패동,http://tong.visitkorea.or.kr/cms/resource/16/3012216_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/16/3012216_image3_1.JPG,3014000,28,,,A03,A0303,A03030700,Type3,127.1944950345,37.5931717124,6,20230921140324,20241118141734,,31,9
오산시청물놀이장,경기도 오산시 성호대로 141 (오산동),http://tong.visitkorea.or.kr/cms/resource/89/3386989_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/89/3386989_image3_1.jpg,3351644,12,,,A02,A0202,A02020600,Type1,127.0772987728,37.1489294234,6,20240821145613,20241106131226,,31,22
천동 물놀이장,충청북도 단양군 단양읍 다리안로 534,http://tong.visitkorea.or.kr/cms/resource/36/2022236_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/36/2022236_image3_1.jpg,2022071,28,,,A03,A0303,A03030700,Type3,128.4177803267,36.9733936524,6,20150801000020,20240919172636,,33,2
광명안양천물놀이장,경기도 광명시 철산동,http://tong.visitkorea.or.kr/cms/resource/41/3000641_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/41/3000641_image3_1.jpg,3011251,28,,606-3,A03,A0303,A03030700,Type3,126.8697135392,37.4938524126,6,20230915115517,20240902144649,,31,4
함평엑스포공원 물놀이장,전라남도 함평군 함평읍 곤재로 27,http://tong.visitkorea.or.kr/cms/resource/35/3014235_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/35/3014235_image3_1.jpg,3014236,28,,,A03,A0303,A03030700,Type3,126.5199617294,35.0562284540,6,20230921111453,20240828171404,,38,22
