제목,이미지URL,촬영장소,사진작가,검색키워드,콘텐츠ID,콘텐츠타입ID,등록일시,수정일시
광안리해수욕장,http://tong.visitkorea.or.kr/cms2/website/95/2802895.jpg,부산광역시 수영구 광안동,부산울산지사 디자인글꼴,"광안리해수욕장, 부산광역시 수영구, 바닷가, SUP존, 광안리해변 수상레저 구역, 해양레포츠, 패들보드, 부산 광안대교, 별바다부산, 부산야간관광, 부산야경",2802895,17,20211228003850,20240617135414
광안리해수욕장,http://tong.visitkorea.or.kr/cms2/website/96/2802896.jpg,부산광역시 수영구 광안동,부산울산지사 디자인글꼴,"광안리해수욕장, 부산광역시 수영구, 바닷가, SUP존, 광안리해변 수상레저 구역, 해양레포츠, 패들보드, 해운대 마린시티, 해운대 마천루",2802896,17,20211227153949,20211227154058
광안리해수욕장,http://tong.visitkorea.or.kr/cms2/website/98/2802898.jpg,부산광역시 수영구 광안동,부산울산지사 디자인글꼴,"광안리해수욕장, 부산광역시 수영구, 바닷가, SUP존, 광안리해변 수상레저 구역, 해양레포츠, 패들보드, 부산 광안대교",2802898,17,20211227154159,20211227154215
광안리해수욕장,http://tong.visitkorea.or.kr/cms2/website/99/2802899.jpg,부산광역시 수영구 광안동,부산울산지사 디자인글꼴,"광안리해수욕장, 부산광역시 수영구, 바닷가, SUP존, 광안리해변 수상레저 구역, 해양레포츠, 패들보드, 부산 광안대교",2802899,17,20211227154232,20211227154400
광안리해수욕장,http://tong.visitkorea.or.kr/cms2/website/00/2802900.jpg,부산광역시 수영구 광안동,부산울산지사 디자인글꼴,"광안리해수욕장, 부산광역시 수영구, 바닷가, SUP존, 광안리해변 수상레저 구역, 해양레포츠, 패들보드, 부산 광안대교",2802900,17,20211227154410,20211227154443
광안리해수욕장,http://tong.visitkorea.or.kr/cms2/website/01/2802901.jpg,부산광역시 수영구 광안동,부산울산지사 디자인글꼴,"광안리해수욕장, 부산광역시 수영구, 바닷가, SUP존, 광안리해변 수상레저 구역, 해양레포츠, 패들보드, 부산 광안대교, 별바다부산, 부산야간관광, 부산야경",2802901,17,20211227154511,20211227154615
다대포해수욕장,http://tong.visitkorea.or.kr/cms2/website/14/2802914.jpg,부산광역시 사하구 다대동,부산울산지사 디자인글꼴,"다대포해수욕장, 부산광역시 사하구, 다대포해변, 해양레포츠, 수상스포츠, 해양스포츠, 수상레포츠",2802914,17,20211227160002,20211227160624
다대포해수욕장,http://tong.visitkorea.or.kr/cms2/website/15/2802915.jpg,부산광역시 사하구 다대동,부산울산지사 디자인글꼴,"다대포해수욕장, 부산광역시 사하구, 다대포해변, 해양레포츠, 수상스포츠, 해양스포츠, 수상레포츠",2802915,17,20211227160629,20211227160846
다대포해수욕장,http://tong.visitkorea.or.kr/cms2/website/16/2802916.jpg,부산광역시 사하구 다대동,부산울산지사 디자인글꼴,"다대포해수욕장, 부산광역시 사하구, 다대포해변, 해양레포츠, 수상스포츠, 해양스포츠, 수상레포츠",2802916,17,20211227160900,20211227160916
다대포해수욕장,http://tong.visitkorea.or.kr/cms2/website/17/2802917.jpg,부산광역시 사하구 다대동,부산울산지사 디자인글꼴,"다대포해수욕장, 부산광역시 사하구, 다대포해변, 해양레포츠, 수상스포츠, 해양스포츠, 수상레포츠",2802917,17,20211227160928,20211227160942
