콘텐츠제목,주소,대표이미지(원본),대표이미지(썸네일),콘텐츠ID,콘텐츠타입ID,교과서속여행지,상세주소,대분류,중분류,소분류,저작권유형,GPSX좌표,GPSY좌표 ,MAP레벨,등록일,수정일,전화번호,지역코드,시군구코드
리버포인트 수상레저,경기도 가평군 청평면 호반로 474,http://tong.visitkorea.or.kr/cms/resource/06/2773906_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/06/2773906_image2_1.jpg,2773872,28,,,A03,A0303,A03030100,Type3,127.4547290754,37.7104683867,6,20211112192604,20250416151508,,31,1
맨하탄수상레저,경기도 가평군 청평면 대성강변길 45,http://tong.visitkorea.or.kr/cms/resource/06/3017706_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/06/3017706_image3_1.JPG,3025632,28,,,A03,A0301,A03010200,Type3,127.3801145403,37.6795872742,6,20230901145257,20250416135727,,31,1
크라운수상레저,경기도 가평군 청평면 호반로 640,http://tong.visitkorea.or.kr/cms/resource/91/3018491_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/91/3018491_image3_1.JPG,3018558,28,,,A03,A0301,A03010200,Type3,127.4578815799,37.7099851675,6,20231006154950,20250416134127,,31,1
레인보우수상레저,경기도 가평군 설악면 유명로 2270,http://tong.visitkorea.or.kr/cms/resource/95/3015695_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/95/3015695_image3_1.JPG,3015799,28,,,A03,A0301,A03010200,Type3,127.4495741729,37.7041495818,6,20230901181010,20250416132647,,31,1
말리부수상레저,경기도 가평군 청평면 경춘로 548,http://tong.visitkorea.or.kr/cms/resource/23/3018523_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/23/3018523_image3_1.JPG,3018573,28,,,A03,A0301,A03010200,Type3,127.4032640472,37.7197024800,6,20231006155525,20250409154033,,31,1
모비딕수상레저,경기도 가평군 가평읍 북한강변로 536,http://tong.visitkorea.or.kr/cms/resource/08/3000408_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/08/3000408_image3_1.jpg,3006242,28,,,A03,A0301,A03010200,Type3,127.5350615870,37.7736264127,6,20230901121819,20250409153141,,31,1
썸머타임수상레저,경기도 가평군 가평읍 호반로 1540,http://tong.visitkorea.or.kr/cms/resource/88/3001888_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/88/3001888_image3_1.JPG,3006252,28,,,A03,A0301,A03010200,Type3,127.5065597364,37.7356414146,6,20230901141120,20250409151816,,31,1
하이수상레저,경기도 가평군 설악면 자잠로282번길 72-133,http://tong.visitkorea.or.kr/cms/resource/73/3015873_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/73/3015873_image3_1.JPG,3015880,28,,,A03,A0301,A03010200,Type3,127.5029833596,37.6987595234,6,20230901182057,20250409142902,,31,1
대성수상레저,경기도 가평군 청평면 대성강변길 14,,,231996,28,,,A03,A0303,A03030100,,127.3795395377,37.6814842660,6,20070927090000,20250315145308,031-584-3119,31,1
AT수상레저,강원특별자치도 춘천시 남산면 서천리 681-1,,,2723687,28,,,A03,A0303,A03030100,,127.5267412539,37.8297475098,6,20210629184407,20250114132414,,32,13
임하호수상레저타운캠핑장,경상북도 안동시 임동면 선착장길 71,http://tong.visitkorea.or.kr/cms/resource/16/2731116_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/16/2731116_image2_1.jpg,2730857,28,,,A03,A0302,A03021700,Type3,128.9196419659,36.5659053157,6,20210804222514,20250114092350,,35,11
한강수상레저,경기도 가평군 설악면 유명로 2428,,,1199435,28,,,A03,A0303,A03030100,,127.4411107417,37.7149009545,6,20110209221617,20250113144729,031-585-8554,31,1
버드마리나수상레저,경기도 가평군 설악면 유명로 2606,,,1198746,28,,,A03,A0303,A03030100,,127.4248203301,37.7227164138,6,20110209024230,20250109151155,,31,1
탑코리아수상레저,경기도 가평군 설악면 미사리로645번길 258,http://tong.visitkorea.or.kr/cms/resource/94/2766294_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/94/2766294_image2_1.png,2765636,28,,,A03,A0303,A03030100,Type3,127.5234835208,37.7245430160,6,20211102011750,20250103105106,,31,1
충주 포세이돈 수상레저(포세이돈수상스키장),충청북도 충주시 살미면 월악로 1087,http://tong.visitkorea.or.kr/cms/resource/15/2771315_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/15/2771315_image2_1.jpg,2769756,28,,,A03,A0303,A03030100,Type3,128.0606721838,36.9201903267,6,20211108215539,20241218133920,,33,11
힐링브릿지수상레저,강원특별자치도 춘천시 남면 박암관천길 511-28,http://tong.visitkorea.or.kr/cms/resource/79/3064879_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/79/3064879_image3_1.jpg,3064930,28,,,A03,A0301,A03010200,Type3,127.5365629723,37.7216102644,6,20231211102155,20241129152754,,32,13
달빛수상레저,경기도 남양주시 화도읍 금남리,http://tong.visitkorea.or.kr/cms/resource/75/3017875_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/75/3017875_image3_1.JPG,3017953,28,,,A03,A0301,A03010200,Type3,127.3440502567,37.6145552815,6,20231005113400,20241127154716,,31,9
수상레저V,강원특별자치도 춘천시 남산면 방하로 487,http://tong.visitkorea.or.kr/cms/resource/45/3064945_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/45/3064945_image3_1.jpg,3064957,28,,,A03,A0303,A03030800,Type3,127.5383250708,37.7773038231,6,20231211102950,20241127133531,,32,13
고노골수상레저,경기도 남양주시 조안면 북한강로 998,http://tong.visitkorea.or.kr/cms/resource/89/3017889_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/89/3017889_image3_1.JPG,3017976,28,,,A03,A0301,A03010200,Type3,127.3416813041,37.6049424656,6,20231005114421,20241126102646,,31,9
평화수상레저,경기도 남양주시 조안면 삼봉리,http://tong.visitkorea.or.kr/cms/resource/36/3017836_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/36/3017836_image3_1.JPG,3017861,28,,,A03,A0301,A03010200,Type3,127.3381930776,37.5929604601,6,20231005110559,20241121142024,,31,9
구례 호수공원 수상레저타운,전라남도 구례군 구만제로 677 우리밀가든,,,3006513,28,,,A03,A0303,A03030100,,127.4248510003,35.2849068614,6,20230825144414,20241118104004,,38,5
제천수상레저,충청북도 제천시 금성면 청풍호로 1482,http://tong.visitkorea.or.kr/cms/resource/46/3341446_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/46/3341446_image3_1.JPG,1927214,28,,,A03,A0303,A03030100,Type3,128.1751919727,37.0337127368,6,20140620191627,20241024182558,043-642-5020,33,7
넵튠 수상레저 & 웨이크서핑 인싸서프,경기도 남양주시 화도읍 금남리,http://tong.visitkorea.or.kr/cms/resource/01/3017901_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/01/3017901_image3_1.JPG,3017977,28,,672,A03,A0303,A03030100,Type3,127.3444168555,37.6157523707,6,20231005115514,20240903150759,,31,9
빠지에빠지다수상레저,강원특별자치도 춘천시 남산면 방하로 567,http://tong.visitkorea.or.kr/cms/resource/19/3017719_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/19/3017719_image3_1.jpg,3017810,28,,,A03,A0303,A03030800,Type3,127.5319504938,37.7826780806,6,20231004181513,20240903131342,,32,13
비버네선착장수상레저,강원특별자치도 춘천시 남산면 방하로 539,http://tong.visitkorea.or.kr/cms/resource/91/3017691_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/91/3017691_image3_1.jpg,3017803,28,,,A03,A0301,A03010200,Type3,127.5339420337,37.7808227775,6,20231004181023,20240902172513,,32,13
북한강포시즌수상레저,강원특별자치도 춘천시 남산면 방하리,http://tong.visitkorea.or.kr/cms/resource/59/3017659_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/59/3017659_image3_1.jpg,3017802,28,,376,A03,A0301,A03010200,Type3,127.5389194864,37.7764539330,6,20231004175340,20240826155358,,32,13
더시크릿수상레저,경기도 남양주시 화도읍 경춘로 2630,http://tong.visitkorea.or.kr/cms/resource/73/2765273_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/73/2765273_image2_1.jpg,2765247,28,,,A03,A0303,A03030100,Type3,127.3741987684,37.6672830404,6,20211101191040,20240820143439,,31,9
지리산수상레저,전라남도 구례군 산동면 구만제로 677,http://tong.visitkorea.or.kr/cms/resource/78/2790478_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/78/2790478_image2_1.jpg,2787159,28,,,A03,A0303,A03030100,Type3,127.4248537784,35.2849096385,6,20211207185058,20240809090830,,38,5
도리수상레저,경기도 여주시 점동면 도리 379,http://tong.visitkorea.or.kr/cms/resource/88/2781888_image2_1.jpeg,http://tong.visitkorea.or.kr/cms/resource/88/2781888_image2_1.jpeg,2781732,28,,,A03,A0303,A03030100,Type3,127.7107892697,37.2277540083,6,20211126211200,20240806162642,,31,20
장수논개수상레저,전북특별자치도 장수군 장계면 의암로 632-77,http://tong.visitkorea.or.kr/cms/resource/32/2790732_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/32/2790732_image2_1.jpg,2787377,28,,,A03,A0303,A03030100,Type3,127.6249199037,35.6917143365,6,20211207194812,20240725163836,,37,11
