종목	분류	설명
바나나보트	가족형	바나나보트,가족형,기초 지식 없이 탑승만으로 즐길 수 있음,바나나 모양의 보트를 끌며 물 위를 달리는 놀이형 레포츠
땅콩보트	가족형	땅콩보트,가족형,간단한 안전장비로 즐길 수 있음,땅콩 모양 보트를 빠르게 끌며 즐기는 수상놀이
빅마블	가족형	놀이시설처럼 탑승 위주로 구성됨,부드러운 타이어형 보트에 여러 명이 타고 즐기는 수상 액티비티
보트투어	가족형	전문 지식 없이 탑승만으로 가능,경치 감상을 위한 수상 관광 형태
플라이피쉬	가족형	놀이 중심이나 약간의 짜릿함이 있음,보트가 공중으로 뜨는 짜릿한 체험이지만 별도 훈련은 필요 없음
워터슬라이드	가족형	물 위로 미끄러지는 놀이,놀이시설에서 주로 즐기는 물 위 슬라이드
수상튜브	가족형	유아도 체험 가능,물 위에 띄운 튜브를 타고 노는 수상 놀이
아쿠아보트	가족형	간단한 조작만으로 즐길 수 있음,작은 전동보트를 타고 조종하며 물 위에서 노는 형태
워터바이크	가족형	자전거 타듯 물 위에서 조작,기초 조작만 익히면 누구나 쉽게 이용 가능
패들보트	가족형	페달을 밟기만 하면 됨,놀이공원 등에 있는 페달형 보트
카약 (체험형/안정형)	가족형	안정적인 구조로 초보자도 체험 가능,일반 호수나 저수지 등에서 간단히 노 저으며 체험
수상 트램펄린	가족형	놀이기구처럼 점프하며 즐김,물 위에서 뛰어노는 구조로 안전장비 착용 후 이용
수상 놀이공원	가족형	놀이터처럼 누구나 즐길 수 있음,수상에 설치된 놀이형 시설
수상 스쿠터 (탑승형)	가족형	족형,가볍게 탑승해 조종,초보자도 이용 가능하지만 간단한 조작 필요
		
서핑	훈련형	파도와 균형을 이용한 고난도 동작 필요,기초 기술부터 배워야 즐길 수 있음
윈드서핑	훈련형	바람을 읽고 조정해야 함,돛과 보드 조정 등 훈련 필수
수상스키	훈련형	물 위에서 스키처럼 타야 해 숙련도 필요,빠른 속도와 자세 유지가 중요
웨이크보드	훈련형	특정 기술과 중심잡기 필요,보드 위에서 균형 유지와 점프 등 동작 포함
웨이크서핑	훈련형	보트가 만든 파도 위에서 파도타기,균형 감각과 기술 필요
제트스키	훈련형	속도 조절과 방향 조작 기술 요구,초보자는 조작법 숙지가 필요
스킨스쿠버	훈련형	잠수기술과 호흡기 다루는 법 필요,자격증이나 강습 필요
스노클링	훈련형	기본 호흡장비 사용법 필요,얕은 수심에서 장비를 이용한 관찰 체험
요트	훈련형	항해 지식과 장비 조작 필요,일반 탑승은 가능하지만 조종은 교육 필요
SUP (스탠드업 패들보드)	훈련형	균형 유지와 패들링 필요,직접 타고 이동하려면 기초 훈련 필요
카약 (해양형/급류용)	훈련형	물살과 조류 대응 훈련 필요,급류나 바다용은 기술이 필요함
플라이보드	훈련형	공중 부양 동작에 숙련 필요,워터제트를 이용해 공중 부상하며 동작 조정
